,NIS,Woonplaats,Mannen,Vrouwen,inhabitants
40,12005,Bonheiden,7319.0,7759.0,15078.0
41,12007,Bornem,10537.0,10816.0,21353.0
42,12009,Duffel,8671.0,8993.0,17664.0
43,12014,Heist-op-den-Berg,21192.0,21758.0,42950.0
44,12021,Lier,17865.0,18781.0,36646.0
45,12025,Mechelen,42555.0,44366.0,86921.0
46,12026,Nijlen,11329.0,11607.0,22936.0
47,12029,Putte,8849.0,9078.0,17927.0
48,12035,Sint-Katelijne-Waver,10322.0,10704.0,21026.0
49,12040,Willebroek,13226.0,13600.0,26826.0
50,12041,Puurs-Sint-Amands,12978.0,13164.0,26142.0
51,13000,Arrondissement Turnhout,232833.0,232036.0,464869.0
52,13001,Arendonk,6654.0,6636.0,13290.0
53,13002,Baarle-Hertog,1439.0,1426.0,2865.0
54,13003,Balen,11364.0,11449.0,22813.0
55,13004,Beerse,9030.0,9098.0,18128.0
56,13006,Dessel,4811.0,4794.0,9605.0
57,13008,Geel,20442.0,20267.0,40709.0
58,13010,Grobbendonk,5597.0,5575.0,11172.0
59,13011,Herentals,13934.0,14338.0,28272.0
60,13012,Herenthout,4500.0,4609.0,9109.0
61,13013,Herselt,7319.0,7202.0,14521.0
62,13014,Hoogstraten,10891.0,10533.0,21424.0
63,13016,Hulshout,5255.0,5216.0,10471.0
64,13017,Kasterlee,9509.0,9373.0,18882.0
65,13019,Lille,8360.0,8204.0,16564.0
66,13021,Meerhout,5221.0,5103.0,10324.0
67,13023,Merksplas,4357.0,4231.0,8588.0
68,13025,Mol,18416.0,18606.0,37022.0
69,13029,Olen,6327.0,6233.0,12560.0
70,13031,Oud-Turnhout,6997.0,6980.0,13977.0
71,13035,Ravels,7587.0,7436.0,15023.0
72,13036,Retie,5805.0,5703.0,11508.0
73,13037,Rijkevorsel,6147.0,6031.0,12178.0
74,13040,Turnhout,22531.0,22749.0,45280.0
75,13044,Vorselaar,3981.0,3955.0,7936.0
76,13046,Vosselaar,5682.0,5661.0,11343.0
77,13049,Westerlo,12570.0,12549.0,25119.0
78,13053,Laakdal,8107.0,8079.0,16186.0
79,20001,Provincie Vlaams-Brabant,567096.0,588747.0,1155843.0
80,20002,Provincie Waals-Brabant,197034.0,208985.0,406019.0
81,21000,Arrondissement Brussel-Hoofdstad,597706.0,620549.0,1218255.0
82,21001,Anderlecht,60341.0,60546.0,120887.0
83,21002,Oudergem,16454.0,17950.0,34404.0
84,21003,Sint-Agatha-Berchem,12374.0,13128.0,25502.0
85,21004,Brussel,94549.0,90554.0,185103.0
86,21005,Etterbeek,23355.0,25118.0,48473.0
87,21006,Evere,20396.0,22260.0,42656.0
88,21007,Vorst (Brussel-Hoofdstad),27403.0,29178.0,56581.0
89,21008,Ganshoren,12063.0,13171.0,25234.0
90,21009,Elsene,42919.0,44713.0,87632.0
91,21010,Jette,25324.0,27404.0,52728.0
92,21011,Koekelberg,10990.0,10969.0,21959.0
93,21012,Sint-Jans-Molenbeek,48883.0,49096.0,97979.0
94,21013,Sint-Gillis,24955.0,24723.0,49678.0
95,21014,Sint-Joost-ten-Node,14395.0,13102.0,27497.0
96,21015,Schaarbeek,65969.0,66830.0,132799.0
97,21016,Ukkel,39056.0,44924.0,83980.0
98,21017,Watermaal-Bosvoorde,11737.0,13595.0,25332.0
99,21018,Sint-Lambrechts-Woluwe,26861.0,30851.0,57712.0
100,21019,Sint-Pieters-Woluwe,19682.0,22437.0,42119.0
101,23000,Arrondissement Halle-Vilvoorde,313872.0,329894.0,643766.0
102,23002,Asse,16383.0,17122.0,33505.0
103,23003,Beersel,12497.0,12846.0,25343.0
104,23009,Bever,1098.0,1080.0,2178.0
105,23016,Dilbeek,20979.0,22444.0,43423.0
106,23023,Galmaarden,4375.0,4461.0,8836.0
107,23024,Gooik,4531.0,4658.0,9189.0
108,23025,Grimbergen,18326.0,19646.0,37972.0
109,23027,Halle (Halle-Vilvoorde),19466.0,20716.0,40182.0
110,23032,Herne,3276.0,3423.0,6699.0
111,23033,Hoeilaart,5587.0,5821.0,11408.0
112,23038,Kampenhout,5960.0,6169.0,12129.0
113,23039,Kapelle-op-den-Bos,4612.0,4889.0,9501.0
114,23044,Liedekerke,6539.0,6858.0,13397.0
115,23045,Londerzeel,9274.0,9587.0,18861.0
