production_function,consumer_facing,industry,retail,ratio_c_s,tau,hiring_firing,unweighted,weighted
leontief,0.8,0.0,0.0,0.75,14,14,8.600920638203299,5.437333485419188
leontief,0.8,0.0,0.0,0.75,14,21,8.71578572763712,5.78655314328301
leontief,0.8,0.0,0.0,0.75,14,28,9.1291063240639,6.267858992538192
leontief,0.8,0.0,0.0,0.75,21,1,8.812890068370939,5.57689239980547
leontief,0.8,0.0,0.0,0.75,21,7,8.722593097686584,5.511920453842752
leontief,0.8,0.0,0.0,0.75,21,14,8.626153725682897,5.50826451748186
leontief,0.8,0.0,0.0,0.75,21,21,8.837203363307594,5.983282353935018
leontief,0.8,0.0,0.0,0.75,21,28,9.316244620256679,6.552722726775005
leontief,0.8,0.0,0.0,0.75,28,1,8.81786633971668,5.592526628326528
leontief,0.8,0.0,0.0,0.75,28,7,8.72399971104894,5.53453657797212
leontief,0.8,0.0,0.0,0.75,28,14,8.660010175139332,5.580519721399831
leontief,0.8,0.0,0.0,0.75,28,21,8.96274482870378,6.15723042292068
leontief,0.8,0.0,0.0,0.75,28,28,9.49363861871492,6.782057627260336
leontief,0.8,0.0,0.0,1.0,1,1,8.789559040712138,5.4405319271859796
leontief,0.8,0.0,0.0,1.0,1,7,8.823959470204674,5.398568044824653
leontief,0.8,0.0,0.0,1.0,1,14,8.820748288242429,5.457249329898628
leontief,0.8,0.0,0.0,1.0,1,21,8.913279084759003,5.672868467156704
leontief,0.8,0.0,0.0,1.0,1,28,9.196026354720622,6.019475731531633
leontief,0.8,0.0,0.0,1.0,7,1,8.929140602774043,5.479046963001582
leontief,0.8,0.0,0.0,1.0,7,7,8.89813114164745,5.439161887421922
leontief,0.8,0.0,0.0,1.0,7,14,8.833850298780952,5.458661489483343
leontief,0.8,0.0,0.0,1.0,7,21,8.904768420458415,5.68465380315088
leontief,0.8,0.0,0.0,1.0,7,28,9.282253930930965,6.1366184131009
leontief,0.8,0.0,0.0,1.0,14,1,8.974929606730715,5.508905125780871
leontief,0.8,0.0,0.0,1.0,14,7,8.921768307053785,5.461617174481668
leontief,0.8,0.0,0.0,1.0,14,14,8.856931558455173,5.4934697053471035
leontief,0.8,0.0,0.0,1.0,14,21,9.018648607059298,5.877889853471732
leontief,0.8,0.0,0.0,1.0,14,28,9.429602986490476,6.3713449609023645
leontief,0.8,0.0,0.0,1.0,21,1,8.995625985563724,5.532293806143321
leontief,0.8,0.0,0.0,1.0,21,7,8.933003271391467,5.4939958730482115
leontief,0.8,0.0,0.0,1.0,21,14,8.891691939391068,5.5670473958778866
leontief,0.8,0.0,0.0,1.0,21,21,9.137300670645928,6.059520689373181
leontief,0.8,0.0,0.0,1.0,21,28,9.59051906397755,6.624549854582583
leontief,0.8,0.0,0.0,1.0,28,1,9.002949640661855,5.552399844076799
leontief,0.8,0.0,0.0,1.0,28,7,8.940230886821196,5.518604043333028
leontief,0.8,0.0,0.0,1.0,28,14,8.920229058667907,5.635286935278843
leontief,0.8,0.0,0.0,1.0,28,21,9.224394479909911,6.199665201189223
leontief,0.8,0.0,0.0,1.0,28,28,9.71245372605495,6.816015007576574
leontief,0.8,0.0,0.2,0.0,1,1,10.16449950884254,6.3932656017634555
leontief,0.8,0.0,0.2,0.0,1,7,9.887501617449178,6.1280465138658755
leontief,0.8,0.0,0.2,0.0,1,14,9.467613786834765,5.722336344661042
leontief,0.8,0.0,0.2,0.0,1,21,9.272639910042757,5.701223073242747
leontief,0.8,0.0,0.2,0.0,1,28,9.360775037123418,5.907725985745355
leontief,0.8,0.0,0.2,0.0,7,1,10.05465633563785,6.099150842405864
leontief,0.8,0.0,0.2,0.0,7,7,9.847905868496715,5.92894903530293
leontief,0.8,0.0,0.2,0.0,7,14,9.537926253503167,5.710801622665515
leontief,0.8,0.0,0.2,0.0,7,21,9.370011901224334,5.698294272347971
leontief,0.8,0.0,0.2,0.0,7,28,9.581202279426435,6.086065486516933
leontief,0.8,0.0,0.2,0.0,14,1,10.005162550620652,6.014321715807992
leontief,0.8,0.0,0.2,0.0,14,7,9.79095085951613,5.7964416069684095
leontief,0.8,0.0,0.2,0.0,14,14,9.568323654648092,5.700489712083201
leontief,0.8,0.0,0.2,0.0,14,21,9.580498223096754,5.966318813179791
leontief,0.8,0.0,0.2,0.0,14,28,9.89851174643634,6.494979285980657
leontief,0.8,0.0,0.2,0.0,21,1,10.018147396513843,6.031044109212644
leontief,0.8,0.0,0.2,0.0,21,7,9.777747579791559,5.792672686840356
leontief,0.8,0.0,0.2,0.0,21,14,9.60982012052468,5.741237305353854
leontief,0.8,0.0,0.2,0.0,21,21,9.783881023116164,6.234109222321684
leontief,0.8,0.0,0.2,0.0,21,28,10.297271874894468,6.907346927729467
leontief,0.8,0.0,0.2,0.0,28,1,10.037159031764665,6.060979496137108
leontief,0.8,0.0,0.2,0.0,28,7,9.776004540353625,5.801629397131881
leontief,0.8,0.0,0.2,0.0,28,14,9.656016110748581,5.789550834865352
leontief,0.8,0.0,0.2,0.0,28,21,9.979727779181783,6.465176627560488
leontief,0.8,0.0,0.2,0.0,28,28,10.641444639484526,7.2785912149033365
leontief,0.8,0.0,0.2,0.25,1,1,9.423667420078754,5.930059630235158
leontief,0.8,0.0,0.2,0.25,1,7,9.262014304364088,5.705541182232418
leontief,0.8,0.0,0.2,0.25,1,14,8.980650716923368,5.5093720362468686
leontief,0.8,0.0,0.2,0.25,1,21,8.910531997281122,5.645726290915816
leontief,0.8,0.0,0.2,0.25,1,28,9.105799970703618,5.88652142604434
leontief,0.8,0.0,0.2,0.25,7,1,9.450446588977055,5.795559635145143
leontief,0.8,0.0,0.2,0.25,7,7,9.308606118132815,5.680923958805169
leontief,0.8,0.0,0.2,0.25,7,14,9.04447445299441,5.534371234739094
leontief,0.8,0.0,0.2,0.25,7,21,8.984329124039645,5.656829042226373
leontief,0.8,0.0,0.2,0.25,7,28,9.301752543296683,6.091393207113976
leontief,0.8,0.0,0.2,0.25,14,1,9.463532221713686,5.761917060971579
leontief,0.8,0.0,0.2,0.25,14,7,9.303011630469321,5.637452937922696
leontief,0.8,0.0,0.2,0.25,14,14,9.105136351897649,5.57354828364593
leontief,0.8,0.0,0.2,0.25,14,21,9.187253951569966,5.9325413078563205
leontief,0.8,0.0,0.2,0.25,14,28,9.586305162389605,6.4677715789303
leontief,0.8,0.0,0.2,0.25,21,1,9.460660143063008,5.78226402579128
leontief,0.8,0.0,0.2,0.25,21,7,9.31167259803438,5.657432061145387
leontief,0.8,0.0,0.2,0.25,21,14,9.157338258930036,5.62818793107495
leontief,0.8,0.0,0.2,0.25,21,21,9.383600401132755,6.18463923205529
leontief,0.8,0.0,0.2,0.25,21,28,9.890047653127162,6.830025202505207
leontief,0.8,0.0,0.2,0.25,28,1,9.46430792197958,5.810110831005342
leontief,0.8,0.0,0.2,0.25,28,7,9.31438647136379,5.679027627920815
leontief,0.8,0.0,0.2,0.25,28,14,9.205589530762005,5.682220749570256
leontief,0.8,0.0,0.2,0.25,28,21,9.564176403860856,6.41123168897118
leontief,0.8,0.0,0.2,0.25,28,28,10.213372513421085,7.1928424537699085
leontief,0.8,0.0,0.2,0.5,1,1,8.852360963649248,5.61539672896847
leontief,0.8,0.0,0.2,0.5,1,7,8.7890266535535,5.490283588854481
leontief,0.8,0.0,0.2,0.5,1,14,8.674923550463607,5.429995202890997
leontief,0.8,0.0,0.2,0.5,1,21,8.710765445612179,5.642926060115075
leontief,0.8,0.0,0.2,0.5,1,28,8.976320759606491,5.90525417990669
leontief,0.8,0.0,0.2,0.5,7,1,8.964745183137236,5.602003543024443
leontief,0.8,0.0,0.2,0.5,7,7,8.85821560317008,5.5260655418126206
leontief,0.8,0.0,0.2,0.5,7,14,8.703711296321014,5.424413513786517
leontief,0.8,0.0,0.2,0.5,7,21,8.740459529885035,5.667456064943604
leontief,0.8,0.0,0.2,0.5,7,28,9.136263591947401,6.1253854000211225
leontief,0.8,0.0,0.2,0.5,14,1,8.99309314537523,5.60084554451933
leontief,0.8,0.0,0.2,0.5,14,7,8.879493669806157,5.518539182355382
leontief,0.8,0.0,0.2,0.5,14,14,8.760834120325475,5.4712021369506285
leontief,0.8,0.0,0.2,0.5,14,21,8.889236696602175,5.9184573701600005
