,Prediction,,95% confidence band,
Date,ML,PE,Lower Bound,Upper Bound
05/01/21,"366,462542366879","666,300213885839","144,410168499189","699,615224580131"
06/01/21,"365,994080738796","678,123994771361","142,000891393961","712,030194509929"
07/01/21,"365,485410913407","689,952189718862","139,632445431521","724,449799204805"
08/01/21,"349,548253958205","672,200912495663","131,511919059315","705,810958120446"
09/01/21,"316,778375496255","620,490544959092","117,377095020049","651,515072207047"
10/01/21,"280,248747167289","559,085402729609","102,270181298797","587,039672866089"
11/01/21,"253,873419939652","515,817369240636","91,248513426429","541,608237702668"
12/01/21,"242,62742128626","502,040311542051","85,8989723707892","527,142327119154"
13/01/21,"242,050097093213","510,023087441886","84,4179833898284","535,524241813981"
14/01/21,"241,44515316604","518,019491434308","82,9616571317824","543,920466006023"
15/01/21,"230,666331498691","503,851417843096","78,0948412674462","529,043988735251"
16/01/21,"208,829857583819","464,344404186222","69,6720061148473","487,561624395533"
17/01/21,"184,585680574127","417,742964124171","60,6922080975903","438,630112330379"
18/01/21,"167,097690467838","384,836238303883","54,1505750786133","404,078050219078"
19/01/21,"159,610066833593","374,015883776934","50,9798025037408","392,716677965781"
20/01/21,"159,165714234069","379,43327291829","50,1037042021975","398,404936564205"
21/01/21,"158,719452146469","384,866135363706","49,2351853169863","404,109442131891"
22/01/21,"151,596666343428","373,861284177278","46,3367394704075","392,554348386142"
23/01/21,"137,213356086578","344,129284765246","41,3260456506005","361,335749003508"
24/01/21,"121,248842050114","309,237507077788","35,9860878661614","324,699382431677"
25/01/21,"109,717116456698","284,569385631752","32,094905090552","298,79785491334"
26/01/21,"104,747523502195","276,285429804727","30,2054265783547","290,099701294964"
27/01/21,"104,395764602849","280,016686444596","29,6802150370718","294,017520766826"
28/01/21,"104,03901076602","283,766555042114","29,1658467255062","297,95488279422"
29/01/21,"99,3087239393504","275,412869258084","27,4530751624957","289,183512720988"
30/01/21,"89,8349302900454","253,298510008842","24,4892295494572","265,963435509284"
31/01/21,"79,3454983917841","227,431284136134","21,3274059212299","238,802848342941"
01/02/21,"71,7771770266901","209,120826454718","19,0204417886954","219,576867777454"
02/02/21,"68,5149353735364","202,871848359049","17,8977139142739","213,015440777001"
03/02/21,"68,2807021448984","205,450750985764","17,5820203355548","215,723288535052"
04/02/21,"68,0476650393903","208,042743381273","17,2720967003294","218,444880550337"
05/02/21,"64,9553456346129","201,76861952455","16,2530040819929","211,857050500778"
06/02/21,"58,7580824119766","185,436146696379","14,4951695914589","194,707954031198"
07/02/21,"51,8914767560409","166,388597939631","12,6229812570265","174,708027836612"
08/02/21,"46,9309621058671","152,899762982124","11,2591827843604","160,54475113123"
09/02/21,"44,7837452135699","148,249094836492","10,5971298641711","155,661549578317"
10/02/21,"44,6139032345801","150,058716267707","10,4125936720284","157,561652081092"
11/02/21,"44,4439339919457","151,883036062842","10,2299780796567","159,477187865984"
12/02/21,"42,408172404109","147,241535399926","9,62582189101576","154,603612169922"
13/02/21,"38,3502694099256","135,270798820473","8,58329233994586","142,034338761497"
14/02/21,"33,8625255782531","121,331734797739","7,47286184166585","127,398321537626"
15/02/21,"30,6243760011133","111,455497911949","6,66369772690002","117,028272807546"
16/02/21,"29,225125628833","108,025591553664","6,27040633472018","113,426871131347"
17/02/21,"29,1180060568804","109,301293849489","6,16047134071402","114,766358541963"
18/02/21,"29,0112723129033","110,585580235573","6,05288455623769","116,114859247351"
19/02/21,"27,6853545273682","107,162907194451","5,69671546174016","112,521052554174"
20/02/21,"25,0364202990018","98,4113772182299","5,08111963103839","103,331946079141"
21/02/21,"22,1046353818443","88,2364744116187","4,4246461379049","92,6482981321996"
22/02/21,"19,9879225593057","81,0246550818661","3,9457757464131","85,0758878359594"
23/02/21,"19,0710944592094","78,5052870376286","3,71284954835342","82,43055138951"
24/02/21,"18,9971826256457","79,4097652378519","3,64745737096957","83,3802534997445"
25/02/21,"18,9235546470458","80,3222733378987","3,5832567054209","84,3383870047936"
26/02/21,"18,0554854697074","77,8177059629091","3,37181857088299","81,7085912610546"
27/02/21,"16,3262546987426","71,4463952607514","3,00694756859637","75,018715023789"
28/02/21,"14,4137513003238","64,0450609427626","2,61819353122328","67,2473139899008"
