date,age,dose,VOC,e_s,e_i,e_h
2022-09-26,"[65, 75)",partial,delta,0.03607715298921333,0.01735356726063426,0.04292724532893738
2022-09-26,"[65, 75)",partial,omicron,0.0022833641132413503,0.01004680209826194,0.030140406294785822
2022-09-26,"[65, 75)",full,WT,0.33198332543119125,0.19682745966479326,0.5886854865232352
2022-09-26,"[65, 75)",full,abc,0.33198332543119125,0.19682745966479326,0.5886854865232352
2022-09-26,"[65, 75)",full,delta,0.23968063321827332,0.10232950061725622,0.5886854865232352
2022-09-26,"[65, 75)",full,omicron,0.0028888618447867847,0.05341062254059108,0.19866640067268165
2022-09-26,"[65, 75)",boosted,WT,0.4746783508266354,0.3012897398710212,0.7004102356514099
2022-09-26,"[65, 75)",boosted,abc,0.4746783508266354,0.3012897398710212,0.7004102356514099
2022-09-26,"[65, 75)",boosted,delta,0.36860677538101805,0.18533884479982748,0.7004102356514099
2022-09-26,"[65, 75)",boosted,omicron,0.0011855623100328894,0.0596808220891859,0.23806087778652138
2022-09-26,"[75, 85)",none,WT,0.0,0.0,0.0
2022-09-26,"[75, 85)",none,abc,0.0,0.0,0.0
2022-09-26,"[75, 85)",none,delta,0.0,0.0,0.0
2022-09-26,"[75, 85)",none,omicron,0.0,0.0,0.0
2022-09-26,"[75, 85)",partial,WT,0.03680093906218566,0.026225956573051847,0.03976193415914313
2022-09-26,"[75, 85)",partial,abc,0.03680093906218566,0.026225956573051847,0.03976193415914313
2022-09-26,"[75, 85)",partial,delta,0.03341694466566284,0.01607397338348339,0.03976193415914313
2022-09-26,"[75, 85)",partial,omicron,0.002114996497826762,0.009305984590437752,0.02791795377131326
2022-09-26,"[75, 85)",full,WT,0.31763113018913275,0.18674322224849638,0.5761590355766528
2022-09-26,"[75, 85)",full,abc,0.31763113018913275,0.18674322224849638,0.5761590355766528
2022-09-26,"[75, 85)",full,delta,0.22693128335802637,0.09636136057503446,0.5761590355766528
2022-09-26,"[75, 85)",full,omicron,0.002538364799051155,0.05005893832339824,0.18803110757891572
2022-09-26,"[75, 85)",boosted,WT,0.4632506320315044,0.2926628207883236,0.6921903151877993
2022-09-26,"[75, 85)",boosted,abc,0.4632506320315044,0.2926628207883236,0.6921903151877993
2022-09-26,"[75, 85)",boosted,delta,0.35728162675077646,0.18087026842251774,0.6921903151877993
2022-09-26,"[75, 85)",boosted,omicron,0.0009335389888280984,0.05561985908821997,0.22591527144819368
2022-09-26,"[85, 120)",none,WT,0.0,0.0,0.0
2022-09-26,"[85, 120)",none,abc,0.0,0.0,0.0
2022-09-26,"[85, 120)",none,delta,0.0,0.0,0.0
2022-09-26,"[85, 120)",none,omicron,0.0,0.0,0.0
2022-09-26,"[85, 120)",partial,WT,0.033278735396992574,0.023715880397856777,0.0359563347967506
2022-09-26,"[85, 120)",partial,abc,0.033278735396992574,0.023715880397856777,0.0359563347967506
2022-09-26,"[85, 120)",partial,delta,0.030218621797269123,0.014535539598686411,0.0359563347967506
2022-09-26,"[85, 120)",partial,omicron,0.0019125709998271596,0.0084153123992395,0.025245937197718504
2022-09-26,"[85, 120)",full,WT,0.3071243431338132,0.1795677194883557,0.5662780809212811
2022-09-26,"[85, 120)",full,abc,0.3071243431338132,0.1795677194883557,0.5662780809212811
2022-09-26,"[85, 120)",full,delta,0.21792326190775113,0.09222271385453812,0.5662780809212811
2022-09-26,"[85, 120)",full,omicron,0.002350960294372881,0.04777249555798796,0.1805260163386973
2022-09-26,"[85, 120)",boosted,WT,0.44250274658407307,0.27713232055213066,0.6769320942472659
2022-09-26,"[85, 120)",boosted,abc,0.44250274658407307,0.27713232055213066,0.6769320942472659
2022-09-26,"[85, 120)",boosted,delta,0.3369740362056608,0.17275776388004632,0.6769320942472659
2022-09-26,"[85, 120)",boosted,omicron,0.0007559357691976326,0.04888416013545409,0.2050001527114823
2022-10-03,"[0, 12)",none,WT,0.0,0.0,0.0
2022-10-03,"[0, 12)",none,abc,0.0,0.0,0.0
2022-10-03,"[0, 12)",none,delta,0.0,0.0,0.0
2022-10-03,"[0, 12)",none,omicron,0.0,0.0,0.0
2022-10-03,"[0, 12)",partial,WT,0.08595588859718964,0.06125592060949148,0.09287187963374513
2022-10-03,"[0, 12)",partial,abc,0.08595588859718964,0.06125592060949148,0.09287187963374513
2022-10-03,"[0, 12)",partial,delta,0.07805189884112623,0.03754395134130123,0.09287187963374513
2022-10-03,"[0, 12)",partial,omicron,0.004939993597539634,0.021735971829174392,0.06520791548752318
2022-10-03,"[0, 12)",full,WT,0.4352217306161351,0.2724987577943596,0.6694094800016361
2022-10-03,"[0, 12)",full,abc,0.4352217306161351,0.2724987577943596,0.6694094800016361
2022-10-03,"[0, 12)",full,delta,0.33636477898519723,0.14887248274278495,0.6694094800016361
2022-10-03,"[0, 12)",full,omicron,0.006939259650647695,0.08019976784635935,0.2794671817237396
2022-10-03,"[0, 12)",boosted,WT,0.6666789651380023,0.4521240690319077,0.8248014520029867
2022-10-03,"[0, 12)",boosted,abc,0.6666789651380023,0.4521240690319077,0.8248014520029867
2022-10-03,"[0, 12)",boosted,delta,0.5703132524356285,0.26043997159508964,0.8248014520029867
2022-10-03,"[0, 12)",boosted,omicron,0.04505098380515318,0.16278786197651546,0.4988408066825158
2022-10-03,"[12, 18)",none,WT,0.0,0.0,0.0
2022-10-03,"[12, 18)",none,abc,0.0,0.0,0.0
2022-10-03,"[12, 18)",none,delta,0.0,0.0,0.0
2022-10-03,"[12, 18)",none,omicron,0.0,0.0,0.0
2022-10-03,"[12, 18)",partial,WT,0.08580422122148418,0.06114783581301171,0.09270800913585646
2022-10-03,"[12, 18)",partial,abc,0.08580422122148418,0.06114783581301171,0.09270800913585646
2022-10-03,"[12, 18)",partial,delta,0.07791417789077298,0.03747770582087814,0.09270800913585646
2022-10-03,"[12, 18)",partial,omicron,0.004931277081694493,0.02169761915945577,0.0650928574783673
2022-10-03,"[12, 18)",full,WT,0.43487032509043727,0.2722369248539538,0.6691470161639526
2022-10-03,"[12, 18)",full,abc,0.43487032509043727,0.2722369248539538,0.6691470161639526
2022-10-03,"[12, 18)",full,delta,0.33602890061840585,0.14870910253714226,0.6691470161639526
2022-10-03,"[12, 18)",full,omicron,0.006923200173035271,0.08010488624451878,0.2791862873386687
