disease_group,model,mean,lower,upper
AA,queuing_model,,,
AA,constrained_PI,,,
AA,PI,,,
AA,data,,,
PP,queuing_model,-497.1020168317636,-396.5346701675779,-680.203323350918
PP,constrained_PI,-5194.113548224697,-4118.6949114366425,-7153.570386223689
PP,PI,-3721.3417788757192,-2867.6321438903715,-5281.659225221918
PP,data,-4515.271912952096,-3008.3293442609997,-7529.898805775465
total,queuing_model,82684.97193361697,57306.86105391589,144559.63761802608
total,constrained_PI,5344.6329026741205,-3000.70958094287,28002.168570346377
total,PI,67284.51970574688,49383.32091344399,116528.29652065871
total,data,94976.17375366345,62072.61383158497,188634.7366091816
total (no negatives),queuing_model,134277.89885715878,92180.33769576465,249480.67670168742
total (no negatives),constrained_PI,82943.59002859896,55178.761016475175,165571.6119396886
total (no negatives),PI,122463.90795359535,86866.59933509147,225205.48202038207
total (no negatives),data,162332.72302322756,102629.6970285264,338159.8443454189
