disease_group,model,mean,lower,upper
18,PI,0.19230580685825477,0.19151755003907542,0.1930940636774339
18,data,0.09981753325979995,0.08361954851328343,0.122817955214264
19,queuing_model,0.14977570849114433,0.1396726252906869,0.15987879169160119
19,constrained_PI,0.07743033514464327,0.07342634359173379,0.08143432669755374
19,PI,0.12361044223244902,0.12324174573792493,0.12397913872697311
19,data,0.17937067428576003,0.15074337652483547,0.2204911530775731
20,queuing_model,0.2569917247662609,0.2342071393110773,0.2797763102214443
20,constrained_PI,0.0739286386360682,0.06858499399565336,0.07927228327648321
20,PI,0.15274480316819583,0.15133819415501334,0.15415141218137796
20,data,0.1803533131633398,0.12310588254788432,0.3177186052834179
21,queuing_model,3.2728840106534925e-05,-0.0007490914987822006,0.0008145491789972647
21,constrained_PI,0.0266755525708982,0.025143067468685172,0.02820803767311471
21,PI,0.037897094799559286,0.037472430270850385,0.03832175932826652
21,data,0.09403161717981123,0.0803634059540057,0.11274477244729039
22,queuing_model,0.33555800905740407,0.3233577685602591,0.3477582495545494
22,constrained_PI,0.21287509322045592,0.20511157432257157,0.22063861211833788
22,PI,0.13324203582813343,0.12794097419298212,0.13854309746328267
22,data,0.40124062203090133,0.32746507504594263,0.5154487529295685
23,queuing_model,0.05134970552568761,0.046209625887988236,0.056489785163387145
23,constrained_PI,0.04326808041870287,0.04199802119974648,0.04453813963765875
23,PI,0.05039791254998768,0.04934764257093212,0.051448182529042236
23,data,0.04060049314864136,0.03611273309523323,0.04644026869126222
24,queuing_model,0.2602716616511509,0.24436260209655056,0.2761807212057483
24,constrained_PI,0.060107994824421675,0.049877032783626644,0.0703389568652135
24,PI,0.08936921528172281,0.08544770132457315,0.09329072923887288
24,data,0.4712142095599048,0.3489011840533133,0.7061664219378893
25,queuing_model,0.1969013761185062,0.18473355539541772,0.20906919684159567
25,constrained_PI,0.10944188559875377,0.10667667852013756,0.11220709267737024
25,PI,0.12352042731525724,0.12243688869645435,0.12460396593405965
25,data,0.19070822778826155,0.15450521979891063,0.250088027841744
AA,queuing_model,0.03263231431929235,0.026865654741817797,0.0383989738967669
AA,constrained_PI,0.03010762583837052,0.028151199176641446,0.03206405250009977
AA,PI,0.05833139484912394,0.057884853370936636,0.05877793632731041
AA,data,0.009421450814202747,0.00869519470281235,0.010235708298297685
PP,queuing_model,-0.011153842906955733,-0.011664575272073473,-0.01064311054183711
