,01,02,03,05-09,10-12,13-15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31-32,33,35,36,37-39,41-43,45,46,47,49,50,51,52,53,55-56,58,59-60,61,62-63,64,65,66,68,69-70,71,72,73,74-75,77,78,79,80-82,84,85,86,87-88,90-92,93,94,95,96,97-98
20,462.598939503921,11.3283571175151,0.0,52.9803599127016,823.913966837475,711.07826191116,171.859128024736,618.025428625495,149.820762796381,599.450423344991,11938.4388359196,183.189699728313,2548.69891558606,334.059687661848,291.089325059077,133.483742458894,43.5974147986329,119.313666799572,49.6076334774208,116.665287450708,8.32811111343692,168.700854108924,22.583400663621,197.631710866672,16.6817296563688,66.5111662560513,369.112612588225,62.9018462148511,466.558107930115,23.197512435406,2.5298722930398,0.0,0.842035789396862,61.6591168503134,0.0536531450027084,15.4598029684079,0.86868703672708,0.0,5.63574172218643e-05,1.18738758889555,0.000359767443181388,0.0,0.000365820056255979,95.3754272217671,107.873881260747,37.1855101530548,246.113975177854,0.790545763125231,29.0134458328983,14.2217547235695,0.0,0.0,100.69892867789,37.6158766813048,10.5215938520424,476.151832135666,49.2628768837781,0.751088088492,6.63912294136989,0.324775737830039,2.55893142111237,75.7783862479636,0.0
21,79.4795696311616,0.0,0.0,0.00463967212678901,255.532964627393,0.263563909546005,0.0,0.0,0.0,0.253353658623166,111.094412902347,1256.23738009399,0.664423905174144,0.0,0.0,0.0,0.0,0.0,0.0,0.862551161196306,0.0,0.0,0.0,0.00178903574093414,0.0,0.598938895956355,0.00168991868657331,0.312529964473847,87.1984764899128,0.442437882622816,1.80531717195289e-05,0.0,0.0,0.0407429997994159,0.0,0.0,0.000164884687418128,0.0,1.27174590069565e-05,0.0056231294148529,0.0,0.0,0.0,0.0,0.0,20.5234635541696,334.096722093873,0.0,128.350327622142,0.00410984317449096,0.0,0.0,0.181572679167926,7.77252200277069,142.10618113945,3006.24187781006,72.941078191952,1.73412289813487,0.0,0.0,0.0,0.0,0.0
22,10.9468243812355,0.0,0.0,7.66049160054857,833.806785506728,47.0180719529318,33.6593856263743,218.105376703649,125.786460221521,12.1418764386711,407.97739198915,39.2240465823793,601.734323336441,112.903976245483,114.166370196343,55.3381201215591,30.6869395704943,74.5000290876582,155.710375070861,503.525180851517,20.6234113510131,188.201705957316,45.697026012749,0.00705167182104753,0.0,23.7049944903865,1478.55335864774,209.153123483102,172.279125281902,21.4121812857313,34.9119788153887,0.0,0.0,27.1111651716799,0.0,77.1318538813819,3.68230336483825,0.0568144564340586,3.31198108360615e-06,0.473029917402055,1.98940051278537,0.552565028173683,2.35977826330606,63.3199867899946,59.8928358728388,8.57521200965432,39.0373357463856,1.26751181121696,1.6217281821316,2.72866803153192,0.325177202998744,0.645258545814302,64.5856809036363,42.5353755929232,1.30292627691586,29.4205092610301,22.5899260631557,0.284300415120295,2.01869820077233,0.32122707714177,15.8417027737881,32.2957180305904,0.0
23,7.08596280518342,0.0,0.0,16.948973976468,140.471602953802,3.81586618971891,3.79198681451423,0.0,0.0,3.21970022279845,24.8628467298283,57.8430342756111,38.7445445565967,748.482624593343,115.540017158294,26.4987571659412,9.90614627607125,22.5134956642722,4.85136240335669,121.539365166758,0.0,15.1583052694408,0.448636623460242,0.0,0.0,8.94016752475554,3326.07079213478,170.215682838843,73.0244673713144,0.183278219819856,7.63910176517082e-06,0.0,0.0,0.000261084656395576,0.0,10.6529130864773,6.97700618081934e-05,0.0,5.38132385033692e-06,0.0117817634220396,0.000168894137390617,0.0,0.0,169.919098927469,200.993639913503,5.29134016361989,0.581851145074086,0.0,10.8193083258866,1.78645782849425,0.0,0.0,146.298658783372,3.66257196820024,0.0,1.48899903639472,0.261717627048177,0.0,0.0,0.0,0.0,6.40354728208753,0.0
24,7.45223001832672e-05,0.0,0.0,12.8846871553888,9.66639893977143,0.000350908806379537,9.53734616329675,0.0,0.0,6.03134359942553,220.74339574159,0.0,31.7276028304875,168.548064280009,7268.34042283042,1559.971099379,132.330867986896,535.982071948091,1029.86759936026,155.282988394785,16.9250473139271,91.1957434346838,67.9163390501502,3.89040704154176e-05,0.0,0.216263316982414,1024.16477774052,12.5329892003989,39.1084854366258,2.885428417857,2.2872100391486e-06,0.0,0.0,0.000980102100635697,0.0,0.0,2.08897316340634e-05,0.0,1.61121272012865e-06,0.00430410462113977,0.0,0.0,0.0,17.9823928974677,43.5402696813095,0.00289690844227693,0.0164556693889704,0.0,0.0544047206318458,0.547901328234638,0.0,0.0,5.7834162232999,22.3743530382308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8.70716380845203,0.0,2.78735904602877,13.1249591565079,228.401840890091,22.4469130684822,26.6860534482225,18.7288560057082,8.18417276693074,46.1891241996505,229.804702933233,0.950837652943796,29.0460912900266,95.2078971155332,303.420391860726,1390.55507896009,102.836356921044,62.138738554183,398.458511912678,520.481187751723,30.7936012474224,73.8772089045564,420.119577469024,0.000579581948389503,17.7356668993372,6.20826167643357,2171.44596642155,113.557671206001,59.7115413816436,16.6829897236408,15.255641104935,0.0,0.0,0.810122410066463,1.6708681023446,40.4040101630861,0.000221484407480981,0.0408159252079686,7.32997814678564,0.25403795192007,8.05753641173196,0.653192131611296,8.26449638375262,49.4025785466604,31.4407555521359,17.1200751589483,9.9626059930312,3.97597984675984,7.27828465026366,1.39376294436084,0.0,0.0,63.7651952756239,149.520285404372,3.71939429055162,18.3556374994035,2.87515471977646,3.70775738612476,0.104611768250484,0.0,10.2583127371764,4.84835753911109,0.0
26,0.816693086028953,0.0,0.0,0.0313358116798086,0.221256868755771,0.0,0.0,0.0,0.000623236580303289,9.05297376654365,43.2100697254379,4.45504583222213,0.00787583224713442,0.0161539673681746,0.0,3.30092366994618,723.836173054952,162.204969600339,123.418273112537,538.621804915473,11.4750485070501,0.0660130471817045,230.409535838402,0.0,0.0,0.0,153.932466340797,129.492253604545,139.217218922026,3.14608827076897,1.17796365915773,0.0,0.626771584855364,0.190791614241937,0.382375605066441,0.0,0.120150798743468,3.25867457798748,336.192489340657,170.057665630429,30.3994863326991,7.52917247647278,64.6074057674383,1.38045802125075,0.0,24.0195209786302,192.420849452544,6.77151955087714e-10,1.8437927000136,0.587489731770726,0.0,0.0,3.94873970320121,67.4914323437241,5.3900210732629,26.8193805574887,3.67366494181836,1.14784430721618,0.0,0.0,53.2402974959544,0.126785419535013,0.0
27,4.19194407548485,0.0,0.913264622872838,0.0389992400457742,0.0985797838403661,3.02521585755944,0.0,0.0,3.76921150247303,5.88264571667009,26.1687615808988,0.0,0.00363751307536416,0.0,8.22706661156494,7.73975784921549,100.485565817671,432.579123193539,237.93922877476,326.23580380748,1.46845899820886,90.3616057522703,400.701593082588,0.466136950571144,0.0,0.402247865210193,1015.6741246289,63.8210158996303,48.8895400858233,0.914393933836499,4.09802378028649,0.0,0.0,0.204456921592772,0.0,0.0,0.0277756058238721,0.0,39.7098822970962,15.2166702473557,0.0,0.0,0.0,31.6276612253613,31.0386837794334,15.298137319349,1.17382374594382,0.0,1.28541929589836,0.00703560661536012,0.0,0.0,2.02178274143364,18.5827825531976,0.0,0.475182684418199,0.5271587184182,0.480843306070111,0.0664472635773038,0.0,2.96418384892923,0.863674201275157,0.0
28,22.8351816800384,87.7767062455682,1.09761700511122,3.83116027195329,0.238957054940885,0.283801089663908,1.31170314048884e-09,6.65019539593941,0.0,28.5940225109852,172.467059933647,1.11300244377769e-07,2.02186210429755,0.343414361756849,16.8161032466046,95.1183851589774,22.8585343478777,0.460012585501723,2008.55046828965,500.596329254196,4.06106274887484,3.52184221996137,407.836145813888,0.0,0.0,7.0669264047639,737.509060681554,84.2854477346389,88.5277684710736,13.8860258868588,14.1607206621662,0.0,0.0,81.777329173018,1.68927454538797,0.0,0.000545999708759992,0.657099684396423,1.54021526164737,0.0387628651963838,0.0363628228742298,0.948469483261656,0.0452391269833785,24.4284288753396,15.0201576846862,9.27665671817973,100.957231679863,0.0,0.00196229036132996,16.2577274117507,0.0,0.0,23.2449264586182,26.6349433557555,0.0,35.0742192732563,0.116817818476206,0.0,0.0,5.48866515792248,0.318072246272741,2.23071966527901,0.0
29,1.45997477206227,0.0,0.0,0.00150729166690998,0.0056894478028887,0.0,0.0,0.0,0.0,0.101748894748301,4.37371815957602,0.0,3.01069155170993e-05,0.0,0.0,0.828148762258067,0.0,0.0,8.33042753544496,6970.15378585104,15.2037261650728,0.0,0.181162695110612,0.0,0.0,5.11886162755335,6.74906271824179,293.427509290603,1.16099043612177,0.308959818863924,111.677855771938,0.0,0.0,2.02935610533137,0.0,0.0,7.60325599416791e-07,0.0,5.86434664972993e-08,2.4433714110283e-05,0.254598014065769,0.0,0.0,0.0,0.0,6.88862841660537e-05,10.7664277549631,0.0,0.254603487138923,150.468964315793,0.0,0.0,8.32772757822269e-06,11.305291355672,0.0,14.9110662765087,0.31233231841636,0.0,0.0,5.58207059517052,0.0,0.0,0.0
30,0.0,0.0,1.41616139216616,0.0,0.0119425322221165,0.0,0.0,0.0,0.0,0.119778472997664,0.431645592249752,0.0,0.000224477058689841,0.0,0.0,0.563872114401854,0.0,0.0,0.0,5.87701871490876,495.435721524642,0.0,293.409237918981,0.0,0.0,0.0,2.28780177123548,0.0,9.55518286141484,0.0397459293891062,52.5558357214884,0.0,55.0111149234368,4.41943080892407,0.0,0.0,0.0,0.0,0.0,0.000135152508538654,0.0,0.0,0.0,0.0,0.0,0.000477128744170313,5.37250563915694e-05,0.0,1.82894584342281,0.0,0.0,0.0,6.20356142890162e-06,62.4974475509658,0.0,0.914601192283099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-32,1.06319990365157,0.0,0.0,0.00777808360121985,0.804317495482126,3.47030989431646,0.0,0.0,2.72251916335938e-05,0.867625194400519,20.3990793652692,22.9961265160595,6.735647028015,2.65157133431989,2.41670810128011,5.61958518414914,23.1373202126563,0.0,5.96002791605368,160.439362574703,2.58648464202513,140.707789675852,12.3956292069827,0.0,0.0,3.23046652240111,143.088897957339,1.04954720474613,82.6863501049725,18.1636574596436,25.910934532348,0.0,0.0,14.6663516682738,0.0,3.76360434050925,2.71902017973119,0.0,0.0767988766937095,0.242773783241013,1.3327224857795,0.506338788762745,0.796568294636065,1.32386135262727,0.0,4.85578583990666,14.4576084216303,1.77159154643931,22.0500516164957,6.84626964308919,0.042842893363723,0.0,11.5787893573456,6.61976907474899,5.88499128961073,571.199385894729,68.1756314668597,1.97253253447222,51.874746580368,0.0,0.934431423265194,18.9428395707111,0.0
33,212.322285999064,9.89193489553368,8.73341852375994,41.8835339973047,252.773888791173,77.7861982030111,106.742218070768,186.312056638842,45.8902457640584,35.2269352336159,140.13616967611,19.129745451394,69.7150923373278,94.4633160169736,376.867202371701,96.8355804915216,38.5297823382656,30.7914211276127,150.008875568686,46.1726316846367,87.0225776962777,57.0212872414013,532.378168049268,169.061669501623,60.1303235924472,301.720009536897,183.819063118025,22.502334055121,147.194103684553,168.67301194509,206.636921372176,114.500133303633,276.055156806745,146.673479362827,22.5188872270278,76.844698008576,4.371137545423,22.9693885742027,123.34442719134,27.0350822911638,6.9559006371111,0.0,8.81792853785347,1.41812659423768,0.0,64.7576813695304,270.029941750524,6.27130332546862e-10,17.1593275639104,224.678645680596,0.0,2.49198738376986,163.86825027552,137.210327995394,33.5880121068641,157.540532004558,81.0283988475629,44.8290328493205,51.5443083034871,10.6060569064991,2.64141911240415,40.9579361993411,0.0
35,182.651794824262,0.0,0.0,74.0091167632213,513.474400926975,93.6562098786823,60.3075507890894,117.454466436454,59.8812398110945,146.061828001347,1100.63966250954,24.8789246015651,86.4595559882021,184.583897711303,754.231772384459,61.3156851541937,20.8434175146753,31.9616492893408,63.5715898820832,62.4699833518232,12.9233955746101,37.6848004710281,22.4892111748538,2037.08397447691,1.43951169311502,162.479539443722,129.057891991646,47.6864840593096,116.332431739159,377.501365461424,231.916406320498,0.0133954699715372,1.53723277659324,171.310831327413,13.6105455971297,177.804859547264,1.00623362207367,14.8158265581454,92.7004667339413,115.474075955639,66.6392380526776,6.69371144197219,104.583645523123,90.3894623186002,2.89857348463922,42.8027758067348,218.871182514527,10.721619645876,11.7990315064639,15.2506627249664,7.34847066677521,0.962188260694771,72.2559585986973,69.0222653178153,36.5355926726226,96.242521276553,140.166511740309,42.736849687877,60.8793208177463,16.5814443826551,2.63585867090815,63.7525999810008,0.0
36,6.02552933417116,0.0,0.0,0.32947360856941,22.7819446841272,3.68784853322698,1.63809475191447,1.70930443922847,1.59800771241094,12.8139836531906,40.42032771423,1.8045225870394,3.09499084824371,5.42202794724538,61.0580892026529,4.57631296534992,1.08018627817358,0.615728167002202,0.879014457098167,2.81499280550834,0.364099822922796,1.06131254388307,2.15502529263386,4.65397835920377,12.6278260680958,12.0050552726346,12.3240798127249,2.37304033816287,14.7037306985745,11.4226152235555,8.57178409352263,1.32645328210046e-06,0.0,10.6035296940581,1.00977440877493,29.1088938910733,0.51124088497473,0.603093771014577,1.03672407915973,1.68823746680483,3.92691728769916,0.499109540700972,4.54660326143558,1.18532588968663,0.0,2.04681100037848,21.050272558465,0.320023310784974,3.86569805812872,1.98264323646976,1.3348701520107,0.0,4.85728212886153,20.904537270625,5.27267638416378,23.5415047874165,36.6316099380993,3.06572089609588,14.8737706908863,7.47846570887748,0.178389826224994,4.43477256329073,0.0
37-39,3.26272561078997,0.0,0.0,4.69691499891105,44.4036642687874,9.17516822724856,159.265925976338,305.346146836686,3.42629379600715,8.04202061867061,266.176907097147,1.58547931702762,72.7488872551206,65.2630566451564,1993.50221154222,394.031200072546,2.36302877268537,1.57338862501245,3.66381746808155,3.9586280947962,277.172777858964,1.88410769880489,221.394914171711,0.00139587628962158,666.527309271019,4057.35309467603,234.603228924144,0.910321700194574,93.7836603812774,25.5880449138143,12.9516458973237,0.0,0.0,31.6322453931567,9.11966907065606,34.7460387262208,0.00506778880559506,0.152056599380879,1.87493301579611,0.105190164546114,0.00986944973609038,0.0,2.78530625755273,2.56120702527943,0.0,10.1486305396668,87.7896018377892,0.250206701228971,9.09689539318886,15.4452338694552,0.0,0.830292933409363,122.830069307949,472.442899922323,5.96800581997796,25.4774712903043,21.3397314325464,1.19475326822553,2.53105655850992,1.63908536314398,0.264019298850089,3.69168971893028,0.0
