,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown
,Sectoral output (M€/y),Intermediate demand (M€/y),Intermediate use (M€/y),Household demand (M€/y),Total other demand (M€/y),Other demand - government (M€/y),Other demand - exports (M€/y),Other demand - others (M€/y),Taxes minus subsidies (M€/y),Consumption fixed capital (M€/y),Imports (M€/y),Operating surplus and mixed income (M€/y),Gross value added (M€/y),Gross domestic product i (M€/y),Labor compensation (M€/y),Employees (x1000),Desired stock (days),On-site consumption (-),Consumer demand shock (%),Other demand shock (%),Telework (%),Mix (%),Workplace (%),Absent (%)
49,27053.5064402226,16150.4108049753,11517.000303755,2217.39563524725,8685.7,1965.8,6719.9,0,-28.413603768317,1655.73985419368,7781.8,245.396774478818,7332.2391572007,7303.82555343238,5459.51613229652,118.7,3.32371600991931,1,-80,-28,21.4575242718447,5.54490291262136,54.3938106796117,7.96419902912621
50,5170.98999996375,2133.70999996375,2035.41254232185,10.38,3026.9,0,3026.9,0,-161.149301476555,495.026639686738,2129.2,357.289234370259,899.31226336055,738.162961883995,208.145690780108,3,3.32371600991931,1,-80,-32,21.4575242718447,5.54490291262136,54.3938106796117,7.96419902912621
51,7891.198960753,4680.598960753,3102.1134535499,572.3,2638.3,0,2638.3,0,-30.1545715033737,72.9529928274021,4003.3,35.3146832468387,555.3453881812,525.190816677826,477.232283610333,6.1,3.32371600991931,1,-80,-32,21.4575242718447,5.54490291262136,54.3938106796117,7.96419902912621
52,31464.7472335225,17368.3481519626,14120.8497018427,263.399081559904,13833,4587.9,9245.1,0,-156.97334190487,4547.71398211925,5664.6,84.2493966640977,9844.5099105979,9687.53656869303,5369.51987371942,94.9,3.32371600991931,1,0,-26,0,0,100,0
53,4405.08204054174,3499.84249694604,1578.39014182266,190.539543595694,714.7,0,714.7,0,-36.3733676701653,115.1158354718,559.1,472.608564091245,2038.61510730564,2002.24173963547,1487.26407541276,34.7,3.32371600991931,1,0,-30,0,0,100,0
55-56,19526.8560279563,6533.73114722272,8543.67699521901,11299.9248807336,1693.2,0,1693.2,0,8.08728890348399,1168.63975393108,2548.9,1888.54432530549,7101.76421814402,7109.8515070475,4036.49285000397,157.6,3.32371600991931,1,-80,-32,1.42507909117055,1.07420189818809,4.19758412424504,3.56341673856773
58,6022.44952637896,3157.52253030196,1752.257292018,1150.7394580005,1714.1875380765,0,905.855018270657,808.332519805843,-16.731018487002,260.096119364719,2928.7,65.3768633492336,1110.94942328522,1094.21840479822,802.207459058274,10.1,3.32371600991931,0,0,-24,0,0,100,0
59-60,5167.34591736378,2799.2447373867,1987.95297251202,868.410530325773,1499.6906496513,509.4,552.841013367753,437.449636283551,-13.1808226513245,643.940088189169,1157.1,378.546902616192,1764.46491413708,1751.28409148576,755.158745983044,12.7,3.32371600991931,0,0,-15,0,0,100,0
61,14002.5027408734,6430.55274087338,6145.92636134962,4335.45,3236.5,0,3236.5,0,21.9820170833499,1659.71906622,2665.7,1590.00384641085,5068.74793768961,5090.72995477296,1797.04300797541,23.3,3.32371600991931,0,0,-22,0,0,100,0
62-63,21333.6901590213,11671.8073704486,8246.37399108645,0,9661.88278857266,0,4763.2,4898.68278857266,-87.6795829059259,1435.15685155198,3143.4,1800.6467205024,8657.00581848082,8569.32623557489,5508.88182933236,77.2,3.32371600991931,0,0,-13,0,0,100,0
