date,NIS,age,e_s,e_i,e_h
2020-12-28,37000,"[0, 12)",0.0,0.0,0.0
2020-12-28,37000,"[12, 18)",0.0,0.0,0.0
2020-12-28,37000,"[18, 25)",0.0,0.0,0.0
2020-12-28,37000,"[25, 35)",0.0,0.0,0.0
2020-12-28,37000,"[35, 45)",0.0,0.0,0.0
2020-12-28,37000,"[45, 55)",0.0,0.0,0.0
2020-12-28,37000,"[55, 65)",0.0,0.0,0.0
2020-12-28,37000,"[65, 75)",0.0,0.0,0.0
2020-12-28,37000,"[75, 85)",0.0,0.0,0.0
2020-12-28,37000,"[85, 120)",0.0,0.0,0.0
2020-12-28,38000,"[0, 12)",0.0,0.0,0.0
2020-12-28,38000,"[12, 18)",0.0,0.0,0.0
2020-12-28,38000,"[18, 25)",0.0,0.0,0.0
2020-12-28,38000,"[25, 35)",0.0,0.0,0.0
2020-12-28,38000,"[35, 45)",0.0,0.0,0.0
2020-12-28,38000,"[45, 55)",0.0,0.0,0.0
2020-12-28,38000,"[55, 65)",0.0,0.0,0.0
2020-12-28,38000,"[65, 75)",0.0,0.0,0.0
2020-12-28,38000,"[75, 85)",0.0,0.0,0.0
2020-12-28,38000,"[85, 120)",0.0,0.0,0.0
2020-12-28,41000,"[0, 12)",0.0,0.0,0.0
2020-12-28,41000,"[12, 18)",0.0,0.0,0.0
2020-12-28,41000,"[18, 25)",0.0,0.0,0.0
2020-12-28,41000,"[25, 35)",0.0,0.0,0.0
2020-12-28,41000,"[35, 45)",0.0,0.0,0.0
2020-12-28,41000,"[45, 55)",0.0,0.0,0.0
2020-12-28,41000,"[55, 65)",0.0,0.0,0.0
2020-12-28,41000,"[65, 75)",0.0,0.0,0.0
2020-12-28,41000,"[75, 85)",0.0,0.0,0.0
2020-12-28,41000,"[85, 120)",0.0,0.0,0.0
2020-12-28,42000,"[0, 12)",0.0,0.0,0.0
2020-12-28,42000,"[12, 18)",0.0,0.0,0.0
2020-12-28,42000,"[18, 25)",0.0,0.0,0.0
2020-12-28,42000,"[25, 35)",0.0,0.0,0.0
2020-12-28,42000,"[35, 45)",0.0,0.0,0.0
2020-12-28,42000,"[45, 55)",0.0,0.0,0.0
2020-12-28,42000,"[55, 65)",0.0,0.0,0.0
2020-12-28,42000,"[65, 75)",0.0,0.0,0.0
2020-12-28,42000,"[75, 85)",0.0,0.0,0.0
2020-12-28,42000,"[85, 120)",0.0,0.0,0.0
2020-12-28,43000,"[0, 12)",0.0,0.0,0.0
2020-12-28,43000,"[12, 18)",0.0,0.0,0.0
2020-12-28,43000,"[18, 25)",0.0,0.0,0.0
2020-12-28,43000,"[25, 35)",0.0,0.0,0.0
2020-12-28,43000,"[35, 45)",0.0,0.0,0.0
2020-12-28,43000,"[45, 55)",0.0,0.0,0.0
2020-12-28,43000,"[55, 65)",0.0,0.0,0.0
2020-12-28,43000,"[65, 75)",0.0,0.0,0.0
2020-12-28,43000,"[75, 85)",0.0,0.0,0.0
2020-12-28,43000,"[85, 120)",0.0,0.0,0.0
2020-12-28,44000,"[0, 12)",0.0,0.0,0.0
2020-12-28,44000,"[12, 18)",0.0,0.0,0.0
2020-12-28,44000,"[18, 25)",0.0,0.0,0.0
2020-12-28,44000,"[25, 35)",0.0,0.0,0.0
2020-12-28,44000,"[35, 45)",0.0,0.0,0.0
2020-12-28,44000,"[45, 55)",0.0,0.0,0.0
2020-12-28,44000,"[55, 65)",0.0,0.0,0.0
2020-12-28,44000,"[65, 75)",0.0,0.0,0.0
2020-12-28,44000,"[75, 85)",0.0,0.0,0.0
2020-12-28,44000,"[85, 120)",0.0,0.0,0.0
2020-12-28,45000,"[0, 12)",0.0,0.0,0.0
2020-12-28,45000,"[12, 18)",0.0,0.0,0.0
2020-12-28,45000,"[18, 25)",0.0,0.0,0.0
2020-12-28,45000,"[25, 35)",0.0,0.0,0.0
2020-12-28,45000,"[35, 45)",0.0,0.0,0.0
2020-12-28,45000,"[45, 55)",0.0,0.0,0.0
2020-12-28,45000,"[55, 65)",0.0,0.0,0.0
2020-12-28,45000,"[65, 75)",0.0,0.0,0.0
2020-12-28,45000,"[75, 85)",0.0,0.0,0.0
2020-12-28,45000,"[85, 120)",0.0,0.0,0.0
2020-12-28,46000,"[0, 12)",0.0,0.0,0.0
2020-12-28,46000,"[12, 18)",0.0,0.0,0.0
2020-12-28,46000,"[18, 25)",0.0,0.0,0.0
2020-12-28,46000,"[25, 35)",0.0,0.0,0.0
2020-12-28,46000,"[35, 45)",0.0,0.0,0.0
2020-12-28,46000,"[45, 55)",0.0,0.0,0.0
2020-12-28,46000,"[55, 65)",0.0,0.0,0.0
2020-12-28,46000,"[65, 75)",0.0,0.0,0.0
2020-12-28,46000,"[75, 85)",0.0,0.0,0.0
2020-12-28,46000,"[85, 120)",0.0,0.0,0.0
2020-12-28,51000,"[0, 12)",0.0,0.0,0.0
2020-12-28,51000,"[12, 18)",0.0,0.0,0.0
2020-12-28,51000,"[18, 25)",0.0,0.0,0.0
2020-12-28,51000,"[25, 35)",0.0,0.0,0.0
2020-12-28,51000,"[35, 45)",0.0,0.0,0.0
2020-12-28,51000,"[45, 55)",0.0,0.0,0.0
2020-12-28,51000,"[55, 65)",0.0,0.0,0.0
2020-12-28,51000,"[65, 75)",0.0,0.0,0.0
2020-12-28,51000,"[75, 85)",0.0,0.0,0.0
2020-12-28,51000,"[85, 120)",0.0,0.0,0.0
2020-12-28,52000,"[0, 12)",0.0,0.0,0.0
2020-12-28,52000,"[12, 18)",0.0,0.0,0.0
2020-12-28,52000,"[18, 25)",0.0,0.0,0.0
2020-12-28,52000,"[25, 35)",0.0,0.0,0.0
2020-12-28,52000,"[35, 45)",0.0,0.0,0.0
2020-12-28,52000,"[45, 55)",0.0,0.0,0.0
2020-12-28,52000,"[55, 65)",0.0,0.0,0.0
2020-12-28,52000,"[65, 75)",0.0,0.0,0.0
2020-12-28,52000,"[75, 85)",0.0,0.0,0.0
2020-12-28,52000,"[85, 120)",0.0,0.0,0.0
2020-12-28,53000,"[0, 12)",0.0,0.0,0.0
2020-12-28,53000,"[12, 18)",0.0,0.0,0.0
2020-12-28,53000,"[18, 25)",0.0,0.0,0.0
2020-12-28,53000,"[25, 35)",0.0,0.0,0.0
2020-12-28,53000,"[35, 45)",0.0,0.0,0.0
2020-12-28,53000,"[45, 55)",0.0,0.0,0.0
2020-12-28,53000,"[55, 65)",0.0,0.0,0.0
2020-12-28,53000,"[65, 75)",0.0,0.0,0.0
2020-12-28,53000,"[75, 85)",0.0,0.0,0.0
2020-12-28,53000,"[85, 120)",0.0,0.0,0.0
2020-12-28,55000,"[0, 12)",0.0,0.0,0.0
2020-12-28,55000,"[12, 18)",0.0,0.0,0.0
2020-12-28,55000,"[18, 25)",0.0,0.0,0.0
2020-12-28,55000,"[25, 35)",0.0,0.0,0.0
2020-12-28,55000,"[35, 45)",0.0,0.0,0.0
2020-12-28,55000,"[45, 55)",0.0,0.0,0.0
2020-12-28,55000,"[55, 65)",0.0,0.0,0.0
2020-12-28,55000,"[65, 75)",0.0,0.0,0.0
2020-12-28,55000,"[75, 85)",0.0,0.0,0.0
2020-12-28,55000,"[85, 120)",0.0,0.0,0.0
2020-12-28,56000,"[0, 12)",0.0,0.0,0.0
2020-12-28,56000,"[12, 18)",0.0,0.0,0.0
2020-12-28,56000,"[18, 25)",0.0,0.0,0.0
2020-12-28,56000,"[25, 35)",0.0,0.0,0.0
2020-12-28,56000,"[35, 45)",0.0,0.0,0.0
2020-12-28,56000,"[45, 55)",0.0,0.0,0.0
2020-12-28,56000,"[55, 65)",0.0,0.0,0.0
2020-12-28,56000,"[65, 75)",0.0,0.0,0.0
2020-12-28,56000,"[75, 85)",0.0,0.0,0.0
2020-12-28,56000,"[85, 120)",0.0,0.0,0.0
2020-12-28,57000,"[0, 12)",0.0,0.0,0.0
2020-12-28,57000,"[12, 18)",0.0,0.0,0.0
2020-12-28,57000,"[18, 25)",0.0,0.0,0.0
