date,age,dose,VOC,e_s,e_i,e_h
2021-01-04,"[18, 25)",partial,WT,0.43478298201806515,0.3098453435071269,0.06191599784612856
2021-01-04,"[18, 25)",partial,abc,0.43478298201806515,0.3098453435071269,0.06191599784612856
2021-01-04,"[18, 25)",partial,delta,0.3948029376945649,0.18990521053662615,0.12390509604390562
2021-01-04,"[18, 25)",partial,omicron,0.02498752770218765,0.10994512188962566,0.3126644491966046
2021-01-04,"[18, 25)",full,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[18, 25)",full,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[18, 25)",full,delta,0.79,0.38,0.714285714285714
2021-01-04,"[18, 25)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-04,"[18, 25)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[18, 25)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[18, 25)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-04,"[18, 25)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-04,"[25, 35)",partial,WT,0.4337355731906859,0.30909891422784513,0.06176683983999177
2021-01-04,"[25, 35)",partial,abc,0.4337355731906859,0.30909891422784513,0.06176683983999177
2021-01-04,"[25, 35)",partial,delta,0.39385184232257686,0.189447721623518,0.12360660393008994
2021-01-04,"[25, 35)",partial,omicron,0.024927331792568157,0.10968025988729989,0.31191122858392983
2021-01-04,"[25, 35)",full,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[25, 35)",full,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[25, 35)",full,delta,0.79,0.38,0.714285714285714
2021-01-04,"[25, 35)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-04,"[25, 35)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[25, 35)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[25, 35)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-04,"[25, 35)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-04,"[35, 45)",partial,WT,0.4336004298811246,0.3090026052026405,0.06174759453093004
2021-01-04,"[35, 45)",partial,abc,0.4336004298811246,0.3090026052026405,0.06174759453093004
2021-01-04,"[35, 45)",partial,delta,0.3937291259840097,0.1893886935112958,0.12356809059023206
2021-01-04,"[35, 45)",partial,omicron,0.024919564935696817,0.109646085717066,0.31181404329795004
2021-01-04,"[35, 45)",full,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[35, 45)",full,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[35, 45)",full,delta,0.79,0.38,0.714285714285714
2021-01-04,"[35, 45)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-04,"[35, 45)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[35, 45)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[35, 45)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-04,"[35, 45)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-04,"[45, 55)",partial,WT,0.4333867116821183,0.30885030027921073,0.06171715963329919
2021-01-04,"[45, 55)",partial,abc,0.4333867116821183,0.30885030027921073,0.06171715963329919
2021-01-04,"[45, 55)",partial,delta,0.3935350600331879,0.18929534533241948,0.12350718486238757
2021-01-04,"[45, 55)",partial,omicron,0.024907282280581512,0.10959204203455865,0.3116603526390713
2021-01-04,"[45, 55)",full,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[45, 55)",full,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[45, 55)",full,delta,0.79,0.38,0.714285714285714
2021-01-04,"[45, 55)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-04,"[45, 55)",boosted,WT,0.87,0.62,0.5384615384615381
