date,NIS,age,e_s,e_i,e_h
2021-01-04,20001,"[12, 18)",0.0,0.0,0.0
2021-01-04,20001,"[18, 25)",0.0,0.0,0.0
2021-01-04,20001,"[25, 35)",1.456053191679259e-08,1.0376471021162537e-08,2.07351690402905e-09
2021-01-04,20001,"[35, 45)",3.096807593672574e-08,2.2069203541114898e-08,4.410060656231916e-09
2021-01-04,20001,"[45, 55)",8.533387623004327e-08,6.08126474283067e-08,1.2152113388471198e-08
2021-01-04,20001,"[55, 65)",2.432708325390548e-07,1.7336542088990118e-07,3.4643389843828313e-08
2021-01-04,20001,"[65, 75)",1.9756306156734433e-07,1.4079206686408447e-07,2.8134298260022536e-08
2021-01-04,20001,"[75, 85)",1.4479860040364561e-05,1.0318980718420724e-05,2.062028690520837e-06
2021-01-04,20001,"[85, 120)",0.0003502615773705073,0.00024961169881576383,4.9879585832439154e-05
2021-01-04,20002,"[0, 12)",0.0,0.0,0.0
2021-01-04,20002,"[12, 18)",0.0,0.0,0.0
2021-01-04,20002,"[18, 25)",0.0,0.0,0.0
2021-01-04,20002,"[25, 35)",8.393472678586174e-08,5.981555242210837e-08,1.1952865171417578e-08
2021-01-04,20002,"[35, 45)",1.746791593816999e-07,1.2448399863983213e-07,2.4875477889775142e-08
2021-01-04,20002,"[45, 55)",3.286536192207165e-07,2.3421292404234966e-07,4.6802468406978144e-08
2021-01-04,20002,"[55, 65)",7.30429064647354e-07,5.205356552659305e-07,1.0401797279079379e-07
2021-01-04,20002,"[65, 75)",1.5475434366665866e-06,1.1028470468198665e-06,2.2038051178244506e-07
2021-01-04,20002,"[75, 85)",2.2157188060523027e-05,1.579017999715434e-05,3.1553314296340326e-06
2021-01-04,20002,"[85, 120)",0.0006623860741805406,0.0004720452482665921,9.4328196913107e-05
2021-01-04,21000,"[0, 12)",0.0,0.0,0.0
2021-01-04,21000,"[12, 18)",0.0,0.0,0.0
2021-01-04,21000,"[18, 25)",0.0,0.0,0.0
2021-01-04,21000,"[25, 35)",4.760413132921196e-08,3.392478324610508e-08,6.779145952690125e-09
2021-01-04,21000,"[35, 45)",4.1294504762288764e-08,2.942826776163107e-08,5.880613026874596e-09
2021-01-04,21000,"[45, 55)",2.7862624784912395e-07,1.985612340993757e-07,3.967823690253004e-08
2021-01-04,21000,"[55, 65)",2.891079533286154e-06,2.0603095524567997e-06,4.117090170481749e-07
2021-01-04,21000,"[65, 75)",1.4686321566628095e-05,1.0466114219895885e-05,2.0914301895310034e-06
2021-01-04,21000,"[75, 85)",0.00011028349334917727,7.8592834340793e-05,1.5705105349287748e-05
2021-01-04,21000,"[85, 120)",0.0015629677430653052,0.00111383908126493,0.00022257703593646862
2021-01-04,30000,"[0, 12)",0.0,0.0,0.0
2021-01-04,30000,"[12, 18)",0.0,0.0,0.0
2021-01-04,30000,"[18, 25)",0.0,0.0,0.0
2021-01-04,30000,"[25, 35)",5.383300496888707e-08,3.836375066748274e-08,7.66617912281983e-09
2021-01-04,30000,"[35, 45)",1.8551023076734982e-07,1.3220269319052517e-07,2.641789472833783e-08
2021-01-04,30000,"[45, 55)",5.466258649499649e-07,3.8954946697583713e-07,7.784317067744374e-08
2021-01-04,30000,"[55, 65)",7.793637466652185e-07,5.554086470487764e-07,1.1098659804000649e-07
2021-01-04,30000,"[65, 75)",5.421082042948e-07,3.863299846698575e-07,7.719982565483863e-08
2021-01-04,30000,"[75, 85)",2.9480497919340486e-05,2.100909047125414e-05,4.198219620290571e-06
2021-01-04,30000,"[85, 120)",0.0007351627248915365,0.0005239090683135088,0.00010469207759619053
2021-01-04,40000,"[0, 12)",0.0,0.0,0.0
2021-01-04,40000,"[12, 18)",0.0,0.0,0.0
2021-01-04,40000,"[18, 25)",0.0,0.0,0.0
2021-01-04,40000,"[25, 35)",2.1922607717337652e-08,1.5623007798562465e-08,3.1219256234638032e-09
2021-01-04,40000,"[35, 45)",3.2264873209357806e-08,2.299335791931246e-08,4.594733241084411e-09
2021-01-04,40000,"[45, 55)",0.0,0.0,0.0
2021-01-04,40000,"[55, 65)",1.5198084552493764e-07,1.083081887648981e-07,2.1643086535948767e-08
2021-01-04,40000,"[65, 75)",4.218394387221403e-07,3.0062120920428396e-07,6.007275091150395e-08
2021-01-04,40000,"[75, 85)",1.6832111575184534e-05,1.1995297904154496e-05,2.397005005112227e-06
2021-01-04,40000,"[85, 120)",0.00033709681319902,0.00024022991285447404,4.8004835568978445e-05
2021-01-04,50000,"[0, 12)",0.0,0.0,0.0
2021-01-04,50000,"[12, 18)",0.0,0.0,0.0
2021-01-04,50000,"[18, 25)",1.6115637005453155e-08,1.1484706831472365e-08,2.2949742455126003e-09
2021-01-04,50000,"[25, 35)",9.911550209760105e-07,7.063403597760074e-07,1.4114708873628438e-07
2021-01-04,50000,"[35, 45)",1.6494019512684417e-06,1.17543587331774e-06,2.3488584394017027e-07
2021-01-04,50000,"[45, 55)",2.0491299533269976e-06,1.4602995069686651e-06,2.918097787262528e-07
2021-01-04,50000,"[55, 65)",2.4392840907052902e-06,1.7383403864796323e-06,3.473703312976706e-07
2021-01-04,50000,"[65, 75)",3.981395730029564e-06,2.837316497262448e-06,5.66977318893437e-07
2021-01-04,50000,"[75, 85)",4.4953026932117304e-05,3.203549045737095e-05,6.401610996334462e-06
2021-01-04,50000,"[85, 120)",0.0007122029216171298,0.0005075469096581845,0.0001014224484044329
2021-01-04,60000,"[0, 12)",0.0,0.0,0.0
2021-01-04,60000,"[12, 18)",0.0,0.0,0.0
2021-01-04,60000,"[18, 25)",0.0,0.0,0.0
2021-01-04,60000,"[25, 35)",4.7588448059993003e-07,3.3913606663443295e-07,6.776912550502499e-08
2021-01-04,60000,"[35, 45)",1.3929706233150974e-06,9.9269170856938e-07,1.983683117323907e-07
2021-01-04,60000,"[45, 55)",1.8266455072875169e-06,1.301747373009495e-06,2.601265090227361e-07
2021-01-04,60000,"[55, 65)",1.654790977527194e-06,1.1792763288124833e-06,2.3565327723914834e-07
2021-01-04,60000,"[65, 75)",3.4488853018398358e-06,2.457826307058274e-06,4.911442805997111e-07
2021-01-04,60000,"[75, 85)",4.4650050447570256e-05,3.1819576181027086e-05,6.358465123242625e-06
2021-01-04,60000,"[85, 120)",0.0006454025173977423,0.00045994202389264396,9.190962509987157e-05
2021-01-04,70000,"[0, 12)",0.0,0.0,0.0
2021-01-04,70000,"[12, 18)",0.0,0.0,0.0
2021-01-04,70000,"[18, 25)",0.0,0.0,0.0
2021-01-04,70000,"[25, 35)",0.0,0.0,0.0
2021-01-04,70000,"[35, 45)",4.458649400141024e-08,3.1774283081464775e-08,6.349414261211903e-09
2021-01-04,70000,"[45, 55)",1.8530402475407824e-07,1.320557417787684e-07,2.63885296160827e-08
2021-01-04,70000,"[55, 65)",0.0,0.0,0.0
2021-01-04,70000,"[65, 75)",1.3963402954956198e-07,9.950930841463038e-08,1.9884817553594384e-08
2021-01-04,70000,"[75, 85)",6.1341200811981e-06,4.371441896945773e-06,8.735396311338952e-07
2021-01-04,70000,"[85, 120)",0.00017754294964345292,0.0001265248606654492,2.528330073246197e-05
2021-01-04,80000,"[0, 12)",0.0,0.0,0.0
2021-01-04,80000,"[12, 18)",0.0,0.0,0.0
2021-01-04,80000,"[18, 25)",0.0,0.0,0.0
2021-01-04,80000,"[25, 35)",1.8396225079277733e-07,1.3109953504772637e-07,2.6197452050644674e-08
2021-01-04,80000,"[35, 45)",7.426574164793912e-07,5.292501128933593e-07,1.0575937168865279e-07
2021-01-04,80000,"[45, 55)",8.287993556432043e-07,5.906386212629733e-07,1.1802655863091078e-07
2021-01-04,80000,"[55, 65)",4.0307043965711895e-06,2.8724560067518827e-06,5.739992020343459e-07
2021-01-04,80000,"[65, 75)",4.7348289342529e-06,3.3742459071687336e-06,6.742712346611787e-07
2021-01-04,80000,"[75, 85)",0.0001377712603534755,9.818181772316646e-05,1.9619546790241614e-05
2021-01-04,80000,"[85, 120)",0.0019979607216226054,0.0014238340774781787,0.00028452293869104286
2021-01-04,90000,"[0, 12)",0.0,0.0,0.0
2021-01-04,90000,"[12, 18)",0.0,0.0,0.0
2021-01-04,90000,"[18, 25)",0.0,0.0,0.0
2021-01-04,90000,"[25, 35)",1.0546162409701221e-07,7.515655970131905e-08,1.5018438992555878e-08
2021-01-04,90000,"[35, 45)",3.362450319171332e-07,2.396228963087616e-07,4.788353623069734e-08
2021-01-04,90000,"[45, 55)",8.17681817591725e-07,5.82715778053873e-07,1.1644334702760787e-07
2021-01-04,90000,"[55, 65)",1.030080163315192e-06,7.340801163855392e-07,1.466902887438985e-07
