date,age,dose,CUMULATIVE,INCIDENCE
2021-01-25,"[85, 120)",E,0.0,0.0
2021-02-01,"[0, 12)",A,0.0,0.0
2021-02-01,"[0, 12)",B,0.0,0.0
2021-02-01,"[0, 12)",C,0.0,0.0
2021-02-01,"[0, 12)",E,0.0,0.0
2021-02-01,"[12, 18)",A,665.0,43.0
2021-02-01,"[12, 18)",B,0.0,161.0
2021-02-01,"[12, 18)",C,0.0,0.0
2021-02-01,"[12, 18)",E,0.0,0.0
2021-02-01,"[18, 25)",A,16159.0,1897.0
2021-02-01,"[18, 25)",B,586.0,6706.0
2021-02-01,"[18, 25)",C,0.0,0.0
2021-02-01,"[18, 25)",E,0.0,0.0
2021-02-01,"[25, 35)",A,41387.0,5589.0
2021-02-01,"[25, 35)",B,4769.0,15143.0
2021-02-01,"[25, 35)",C,10.0,0.0
2021-02-01,"[25, 35)",E,0.0,0.0
2021-02-01,"[35, 45)",A,43092.0,5949.0
2021-02-01,"[35, 45)",B,6369.0,15724.0
2021-02-01,"[35, 45)",C,39.0,6.0
2021-02-01,"[35, 45)",E,0.0,0.0
2021-02-01,"[45, 55)",A,49559.0,6981.0
2021-02-01,"[45, 55)",B,8854.0,17706.0
2021-02-01,"[45, 55)",C,29.0,20.0
2021-02-01,"[45, 55)",E,0.0,0.0
2021-02-01,"[55, 65)",A,50670.0,7263.0
2021-02-01,"[55, 65)",B,10366.0,17917.0
2021-02-01,"[55, 65)",C,42.0,10.0
2021-02-01,"[55, 65)",E,0.0,0.0
2021-02-01,"[65, 75)",A,27079.0,2006.0
2021-02-01,"[65, 75)",B,9251.0,9722.0
2021-02-01,"[65, 75)",C,23.0,11.0
2021-02-01,"[65, 75)",E,0.0,0.0
2021-02-01,"[75, 85)",A,43696.0,1303.0
2021-02-01,"[75, 85)",B,23224.0,12536.0
2021-02-01,"[75, 85)",C,0.0,0.0
2021-02-01,"[75, 85)",E,0.0,0.0
2021-02-01,"[85, 120)",A,83493.0,1380.0
2021-02-01,"[85, 120)",B,49162.0,22152.0
2021-02-01,"[85, 120)",C,0.0,0.0
2021-02-01,"[85, 120)",E,0.0,0.0
2021-02-08,"[0, 12)",A,0.0,0.0
2021-02-08,"[0, 12)",B,0.0,0.0
2021-02-08,"[0, 12)",C,0.0,0.0
2021-02-08,"[0, 12)",E,0.0,0.0
2021-02-08,"[12, 18)",A,708.0,43.0
2021-02-08,"[12, 18)",B,161.0,314.0
2021-02-08,"[12, 18)",C,0.0,0.0
2021-02-08,"[12, 18)",E,0.0,0.0
2021-02-08,"[18, 25)",A,18056.0,4233.0
2021-02-08,"[18, 25)",B,7292.0,5428.0
2021-02-08,"[18, 25)",C,0.0,0.0
2021-02-08,"[18, 25)",E,0.0,0.0
2021-02-08,"[25, 35)",A,46976.0,10432.0
2021-02-08,"[25, 35)",B,19912.0,11814.0
2021-02-08,"[25, 35)",C,10.0,0.0
2021-02-08,"[25, 35)",E,0.0,0.0
2021-02-08,"[35, 45)",A,49041.0,10054.0
2021-02-08,"[35, 45)",B,22093.0,11463.0
2021-02-08,"[35, 45)",C,45.0,1.0
2021-02-08,"[35, 45)",E,0.0,0.0
2021-02-08,"[45, 55)",A,56540.0,11742.0
2021-02-08,"[45, 55)",B,26560.0,12656.0
2021-02-08,"[45, 55)",C,49.0,15.0
2021-02-08,"[45, 55)",E,0.0,0.0
2021-02-08,"[55, 65)",A,57933.0,8790.0
2021-02-08,"[55, 65)",B,28283.0,12224.0
2021-02-08,"[55, 65)",C,52.0,25.0
2021-02-08,"[55, 65)",E,0.0,0.0
2021-02-08,"[65, 75)",A,29085.0,2296.0
2021-02-08,"[65, 75)",B,18973.0,4658.0
2021-02-08,"[65, 75)",C,34.0,8.0
2021-02-08,"[65, 75)",E,0.0,0.0
