date,NIS,age,dose,CUMULATIVE,INCIDENCE
2020-12-28,23000,"[55, 65)",B,0,0
2020-12-28,23000,"[55, 65)",C,0,0
2020-12-28,23000,"[55, 65)",E,0,0
2020-12-28,23000,"[65, 75)",A,0,22
2020-12-28,23000,"[65, 75)",B,0,0
2020-12-28,23000,"[65, 75)",C,0,0
2020-12-28,23000,"[65, 75)",E,0,0
2020-12-28,23000,"[75, 85)",A,0,149
2020-12-28,23000,"[75, 85)",B,0,0
2020-12-28,23000,"[75, 85)",C,0,0
2020-12-28,23000,"[75, 85)",E,0,0
2020-12-28,23000,"[85, 120)",A,34,422
2020-12-28,23000,"[85, 120)",B,0,0
2020-12-28,23000,"[85, 120)",C,0,0
2020-12-28,23000,"[85, 120)",E,0,0
2020-12-28,24000,"[0, 12)",A,0,0
2020-12-28,24000,"[0, 12)",B,0,0
2020-12-28,24000,"[0, 12)",C,0,0
2020-12-28,24000,"[0, 12)",E,0,0
2020-12-28,24000,"[12, 18)",A,0,0
2020-12-28,24000,"[12, 18)",B,0,0
2020-12-28,24000,"[12, 18)",C,0,0
2020-12-28,24000,"[12, 18)",E,0,0
2020-12-28,24000,"[18, 25)",A,0,0
2020-12-28,24000,"[18, 25)",B,0,0
2020-12-28,24000,"[18, 25)",C,0,0
2020-12-28,24000,"[18, 25)",E,0,0
2020-12-28,24000,"[25, 35)",A,0,14
2020-12-28,24000,"[25, 35)",B,0,0
2020-12-28,24000,"[25, 35)",C,0,0
2020-12-28,24000,"[25, 35)",E,0,0
2020-12-28,24000,"[35, 45)",A,0,17
2020-12-28,24000,"[35, 45)",B,0,0
2020-12-28,24000,"[35, 45)",C,0,0
2020-12-28,24000,"[35, 45)",E,0,0
2020-12-28,24000,"[45, 55)",A,0,17
2020-12-28,24000,"[45, 55)",B,0,0
2020-12-28,24000,"[45, 55)",C,0,0
2020-12-28,24000,"[45, 55)",E,0,0
2020-12-28,24000,"[55, 65)",A,17,35
2020-12-28,24000,"[55, 65)",B,0,0
2020-12-28,24000,"[55, 65)",C,0,0
2020-12-28,24000,"[55, 65)",E,0,0
2020-12-28,24000,"[65, 75)",A,29,9
2020-12-28,24000,"[65, 75)",B,0,0
2020-12-28,24000,"[65, 75)",C,0,0
2020-12-28,24000,"[65, 75)",E,0,0
2020-12-28,24000,"[75, 85)",A,61,152
2020-12-28,24000,"[75, 85)",B,0,0
2020-12-28,24000,"[75, 85)",C,0,0
2020-12-28,24000,"[75, 85)",E,0,0
2020-12-28,24000,"[85, 120)",A,199,349
2020-12-28,24000,"[85, 120)",B,0,0
2020-12-28,24000,"[85, 120)",C,0,0
2020-12-28,24000,"[85, 120)",E,0,0
2020-12-28,25000,"[0, 12)",A,0,0
2020-12-28,25000,"[0, 12)",B,0,0
2020-12-28,25000,"[0, 12)",C,0,0
2020-12-28,25000,"[0, 12)",E,0,0
2020-12-28,25000,"[12, 18)",A,0,0
2020-12-28,25000,"[12, 18)",B,0,0
2020-12-28,25000,"[12, 18)",C,0,0
2020-12-28,25000,"[12, 18)",E,0,0
2020-12-28,25000,"[18, 25)",A,0,0
2020-12-28,25000,"[18, 25)",B,0,0
2020-12-28,25000,"[18, 25)",C,0,0
2020-12-28,25000,"[18, 25)",E,0,0
2020-12-28,25000,"[25, 35)",A,0,11
2020-12-28,25000,"[25, 35)",B,0,0
2020-12-28,25000,"[25, 35)",C,0,0
2020-12-28,25000,"[25, 35)",E,0,0
2020-12-28,25000,"[35, 45)",A,0,23
2020-12-28,25000,"[35, 45)",B,0,0
2020-12-28,25000,"[35, 45)",C,0,0
2020-12-28,25000,"[35, 45)",E,0,0
2020-12-28,25000,"[45, 55)",A,0,43
2020-12-28,25000,"[45, 55)",B,0,0
2020-12-28,25000,"[45, 55)",C,0,0
2020-12-28,25000,"[45, 55)",E,0,0
2020-12-28,25000,"[55, 65)",A,0,54
2020-12-28,25000,"[55, 65)",B,0,0
2020-12-28,25000,"[55, 65)",C,0,0
2020-12-28,25000,"[55, 65)",E,0,0
2020-12-28,25000,"[65, 75)",A,0,96
2020-12-28,25000,"[65, 75)",B,0,0
2020-12-28,25000,"[65, 75)",C,0,0
2020-12-28,25000,"[65, 75)",E,0,0
2020-12-28,25000,"[75, 85)",A,0,211
