time,F1,F1_LL,F1_UL,F4a,F4a_LL,F4a_UL,F4b,F4b_LL,F4b_UL,F4c,F4c_LL,F4c_UL,F4d,F4d_LL,F4d_UL,F5a,F5a_LL,F5a_UL,F5b,F5b_LL,F5b_UL,F5c,F5c_LL,F5c_UL,F5d,F5d_LL,F5d_UL
2020-12-29,14504.901591459628,13823.290685478427,14914.773361594122,11153.779476466832,10852.907359147313,11821.134233259298,6276.792135705115,6063.607569063265,6535.404523426698,4023.795067473502,3974.077073597382,4087.713257130392,3269.099469411957,3267.424943020769,3270.80924088523,11776.499362473933,11281.132531437792,12297.691034501968,5968.582408544107,5712.995657266432,6337.311123107511,3425.3692502573667,3418.162057657551,3438.433942765776,3292.2302799842373,3290.8664095602744,3293.623154912898
2020-12-30,14717.380237143041,14024.707717068253,15132.413911164489,11285.757786757898,10980.612408324721,11962.591931634212,6327.072703820839,6110.79752881568,6588.785671825354,4036.229127581708,3985.775884141718,4101.075513162835,3269.410490773533,3267.7077725021527,3271.148299045057,11932.444667708925,11428.868337421844,12462.915209913264,6013.48070166531,5752.435029647172,6389.35099528471,3426.1711866575915,3418.8890575602845,3439.372409982848,3292.3360429333798,3290.9647636219834,3293.734920708537
2020-12-31,14926.883705680064,14223.520053065267,15346.942511029752,11415.353668680575,11106.098776654173,12101.241889490651,6376.4818719167515,6157.236597795613,6641.0600828472125,4048.470339633139,3997.3052209547504,4114.213257429185,3269.717899808517,3267.9872818053864,3271.483684670533,12086.493337659744,11574.90882307228,12625.955666918213,6058.007583542846,5791.55214361963,6440.968377837339,3426.953609773469,3419.5975683604643,3440.289272659497,3292.4394024843305,3291.060785071585,3293.8441450816536
2021-01-01,15133.275366234979,14419.595618610392,15558.220599112687,11542.504510174655,11229.303288941057,12237.022793557608,6424.995556677404,6202.900099291504,6692.273843909252,4060.512247709668,4008.65882785502,4127.119954267124,3270.021500296938,3268.2632857330364,3271.815159983505,12238.554677281438,11719.17010153707,12786.713564116813,6102.142615006719,5830.329856569511,6492.14004391889,3427.7167827727326,3420.287884592779,3441.1847395410105,3292.5403595760326,3291.1544707848307,3293.9508349159123
2021-01-02,15336.424051635617,14612.807041503622,15766.115679649349,11667.151800201504,11350.166562984923,12369.87855318913,6472.591074523089,6247.764518061484,6742.407139207055,4072.348603905141,4019.8305521664115,4139.789306076964,3270.3210891012704,3268.535593558633,3272.142480235614,12388.539978677974,11861.569246134859,12945.093294896535,6145.864586365788,5868.750482994198,6542.841639290877,3428.460916205316,3420.9602539011557,3442.0589725331847,3292.6389047309476,3291.245810774004,3294.0549930597726
2021-01-03,15536.204890997436,14803.031949418277,15970.50158698329,11789.241567454328,11468.633414435924,12499.758860586919,6519.247347597885,6291.807691399732,6791.442111336242,4083.9735052362284,4030.8145270098466,4152.21542701798,3270.616460589813,3268.8040139252507,3272.4653997903206,12536.362793672535,12002.024752502364,13101.002982742295,6189.151662435087,5906.795696735075,6593.047901255968,3429.186177420361,3421.61488152071,3442.912083653051,3292.7350208119724,3291.3347893828613,3294.1565827357845
2021-01-04,15732.499937140157,14990.15372286578,16171.259271872394,11908.724652013942,11584.653135825709,12626.619437152054,6564.945046629837,6335.009124163129,6839.36287596389,4095.3814175630805,4041.6052352301926,4164.392890897445,3270.907411671068,3269.068359857358,3272.783678191446,12681.939595076623,12140.45730033489,13254.447095813692,6231.9816746614015,5944.446708933402,6642.733077265169,3429.892698005001,3422.2519389264617,3443.744144745532,3292.828685356419,3291.4213869909167,3294.2555796411016
2021-01-05,15925.198998672597,15174.062415542454,16368.277656790102,12025.55697412097,11698.179792621324,12750.422223481897,6609.666732532025,6377.3500070865,6886.155722451213,4106.567229036837,4052.1975124876876,4176.316753329506,3271.193743769535,3269.3284490476417,3273.0970805448515,12825.190559609204,12276.790496294398,13405.270129816532,6274.3323884935035,5981.68451353331,6691.871197574009,3430.5805823006367,3422.871571470799,3444.555197877622,3292.919872129846,3291.50558175138,3294.352204650975
2021-01-06,16114.200508592035,15354.65559961733,16561.45451510641,12139.700050885702,11809.115751507436,12871.135722482626,6653.397036420367,6418.813386109005,6931.809261475262,4117.526330374461,4062.586634978975,4187.98263657062,3271.475266676312,3269.5841081222316,3273.405382867825,12966.040247097983,12410.951556952454,13553.36958726857,6316.181777026463,6018.490179286684,6740.436374105066,3431.2499173764622,3423.4739082895267,3445.3452685868406,3293.0085537687655,3291.5873521627364,3294.446389440879
2021-01-07,16299.412257233238,15531.839193684214,16750.697235300846,12251.121308969761,11917.450721441031,12988.73531151567,6696.122858343821,6459.384415214921,6976.314544180946,4128.254696619735,4072.7684232829715,4199.386823277043,3271.7518035845587,3269.8351776144973,3273.708378223392,13104.41826573269,12542.871860131367,13698.675324711265,6357.508275425313,6054.845049312868,6788.403144394904,3431.9007800161,3424.059066609031,3446.114372664776,3293.094703291807,3291.666678152648,3294.537891566035
2021-01-08,16480.75228494595,15705.52832800246,16935.923694828904,12359.794539006914,12023.193057115379,13103.203532186742,6737.83365613375,6499.050655122038,7019.645220415616,4138.749034281235,4082.7393597840614,4210.52639039723,3272.023196743825,3270.0815173087567,3274.0058832577415,13240.260162954874,12672.488094419845,13841.124458033402,6398.291226473466,6090.731045002078,6835.747023347651,3432.533245873882,3424.6271603586392,3446.862526955083,3293.178296297078,3291.743542657494,3294.6266844096804
2021-01-09,16658.14972066,15875.64816653443,17117.062965017176,12465.700312996778,12126.320474388978,13214.53045562217,6778.5216675616175,6537.802120039258,7061.7983757397,4149.006901059956,4092.496704748857,4221.399323829619,3272.289313396171,3270.3230100465516,3274.2977430757355,13373.508226413996,12799.743050278079,13980.661831915506,6438.511215605025,6126.131029425025,6882.444907290683,3433.147399395367,3425.1783098155083,3447.5897615900662,3293.2593127534747,3291.817933407455,3294.713485753939
2021-01-10,16831.545491630517,16042.134910542713,17294.056338922997,12568.826355321346,12226.817696903236,13322.713924951071,6818.182015153901,6575.631706353663,7102.796604848805,4159.026764325972,4102.038600230693,4232.004597926233,3272.550050601056,3270.559568050643,3274.5838388764814,13504.112144404902,12924.58599106754,14117.241060328972,6478.150289404202,6161.0290397680565,6928.475315551995,3433.7433387078872,3425.712644519487,3448.296124930383,3293.3377381629216,3291.8898434175153,3294.7978718865406
2021-01-11,17000.892502662326,16204.935747609059,17466.857254813207,12669.16744128753,12324.6762325483,13427.759370833923,6856.812652133215,6612.53500977642,7142.642504057661,4168.807927300781,4111.363949689709,4242.3420653737085,3272.805332434219,3270.7911282059927,3274.864082208739,13632.029323273757,13046.97348861137,14250.824403037092,6517.192326203741,6195.410542256255,6973.818879925926,3434.3211845847945,3426.2303119215617,3448.9816949208207,3293.413565456628,3291.9592726966985,3294.879484719399
2021-01-12,17166.156166736517,16364.009544059849,17635.431813333875,12766.725594711199,12419.89461757032,13529.679936195207,6894.414378766427,6648.510230081641,7181.341583855359,4178.350550512966,4120.472474274035,4252.412487517364,3273.0551140666194,3271.0176545893273,3275.1384182814586,13757.225531964586,13166.869942583127,14381.38306034463,6555.623269489176,6229.262718076259,7018.458643793033,3434.881086155964,3426.7314832779016,3449.6465858756997,3293.4867957346387,3292.0262288182425,3294.9583233314756
2021-01-13,17327.31453702175,16519.327339578726,17799.759268149443,12861.51003480677,12512.478542673965,13628.496337734874,6930.990731886258,6683.55826085067,7218.902091609677,4187.655591717759,4129.364678402872,4262.217483183658,3273.299380395407,3271.2391391081183,3275.4068266989925,13879.675010678744,13284.247174086697,14508.897665134751,6593.431062099948,6262.574456908262,7062.379909864685,3435.4232209189804,3427.21635138819,3450.290947467964,3293.5574386202106,3292.0907268483206,3295.0343956442466
2021-01-14,17484.357988535216,16670.87183065,17959.831524904534,12953.536818879591,12602.440366493254,13724.23639752908,6966.547833262668,6717.682521368424,7255.334844663862,4196.72471407696,4138.041728928297,4271.759408337531,3273.5381427687366,3271.45559774014,3275.6693168713728,13999.360445365153,13399.085100119111,14633.358157838955,6630.606034846444,6295.3366094699395,7105.570776095537,3435.9478023386628,3427.685139297684,3450.9149766322307,3293.625513614772,3292.152790815112,3295.107783524013
2021-01-15,17637.28880537604,16818.636676983755,18115.652298501987,13042.828581182346,12689.7987212705,13816.934638161212,7001.094301241121,6750.888816230149,7290.653163687634,4205.560255985818,4146.505446301571,4281.041330040555,3273.7714384617125,3271.6670702013994,3275.925927596404,14116.27287203347,13511.372046056005,14754.762986615988,6667.141018675322,6327.54217509613,7148.02230335698,3436.455083271957,3428.138103706686,3451.518919937531,3293.6910502073215,3292.2124536779943,3295.178452388487
2021-01-16,17786.1209827535,16962.6268670144,18267.237272303588,13129.41421547806,12774.578389764156,13906.632112996915,7034.640975020391,6783.185107683858,7324.872571780246,4214.165117078495,4154.758178024475,4290.066886120352,3273.9993288014066,3271.873616547983,3276.1767230634587,14230.41163443124,13621.103939245218,14873.119087459836,6703.031090744586,6359.186144770927,7189.728211970847,3436.94535042178,3428.5755604869855,3452.1030657253705,3293.7540863506583,3292.269755539619,3295.246729730409
