time,S1,S1_LL,S1_UL,S4a,S4a_LL,S4a_UL,S4b,S4b_LL,S4b_UL,S4c,S4c_LL,S4c_UL,S4d,S4d_LL,S4d_UL,S5a,S5a_LL,S5a_UL,S5b,S5b_LL,S5b_UL,S5c,S5c_LL,S5c_UL,S5d,S5d_LL,S5d_UL
2020-11-30,5560.079018234069,5381.1937133709125,5727.918171519278,5058.3039843706065,4940.778479103576,5186.6962162303125,3964.1276947487295,3903.5759210813003,4015.838565272191,3450.766607484713,3432.8388539551615,3474.647916135902,3254.666096126648,3254.0115323289356,3255.3263824690393,5174.178201733965,5048.247198168567,5330.751539281959,4069.8331344457274,4009.695935491472,4130.5150537117925,3369.719875727773,3365.1430145175714,3375.4807569502764,3284.8242434865037,3283.9508711899894,3285.5637702233025
2020-12-01,5594.771966345485,5410.5727085172175,5765.891662215931,5084.38651291016,4964.07973201324,5213.662141880601,3974.67592781211,3912.7867787363894,4028.104839323963,3453.466921298068,3435.1223943896107,3477.8230218602635,3254.756425992612,3254.096927293855,3255.426906885881,5201.126897866053,5071.168170492443,5359.824979377185,4079.0200913553235,4017.916436148399,4140.750098979643,3370.2806254184725,3365.658991505091,3376.0965773809885,3284.9167181184926,3284.0376453866684,3285.659007984178
2020-12-02,5627.987248745944,5438.834565683543,5802.259996169415,5109.319866702632,4986.25481084024,5239.521141230749,3984.7823663823956,3921.587822976444,4039.9144617131215,3456.0441717060485,3437.292417352775,3480.8643758216203,3254.841615322303,3254.176234987477,3255.52188633039,5226.868582381694,5092.916382044844,5387.4793125904835,4087.7347993507165,4025.719801618733,4150.66225469164,3370.8041071217713,3366.1408090814584,3376.6715898187203,3285.002690430166,3284.1182327358047,3285.7475830322346
2020-12-03,5659.774371002734,5467.605872481901,5837.095885405897,5133.143956908461,5007.41180949746,5264.26732318932,3994.462074406024,3929.993884271356,4051.280474149382,3458.5036437943463,3439.354088564116,3483.7773326628303,3254.921944438726,3254.2510822748554,3255.6116156237536,5251.446246265637,5113.495519412665,5413.864674347373,4095.997133551188,4033.123506447172,4160.088849345622,3371.2925067890947,3366.590283919071,3377.2081698805923,3285.0825714554885,3284.1930314561932,3285.8299138402162
2020-12-04,5690.182972010139,5495.540564303103,5870.443510828595,5155.898602193924,5027.391215501517,5288.270524835844,4003.730144938735,3938.0198874178395,4062.216172821357,3460.8504752168237,3441.312426527054,3486.567149698161,3254.9976811904653,3254.32171551557,3255.6963764834645,5274.902786611598,5132.912210595208,5439.003513361131,4103.826676423887,4040.144694425279,4169.049417954081,3371.747919596307,3367.009771516503,3377.7085932572145,3285.1567532750832,3284.2624209803075,3285.906399976098
2020-12-05,5719.262959154871,5522.346327893366,5902.350798244177,5177.623645421971,5046.607978935206,5311.679380422282,4012.601633932026,3945.669492011484,4072.7351006959834,3463.08966198015,3443.1723337408202,3489.238911107381,3255.0690818064054,3254.3883691919327,3255.7764389900717,5297.2810327028365,5151.226035732256,5462.937449484682,4111.242715981745,4046.8001969140264,4177.563272537094,3372.172351335337,3367.4012720243986,3378.175043777348,3285.2256086411235,3284.3267606671793,3285.977421456819
2020-12-06,5747.064593825917,5548.031589048338,5932.871937277103,5198.359107176317,5064.961238838023,5335.469080874795,4021.091491153982,3952.9643433760552,4082.8508179865903,3465.226060426611,3444.9385633698384,3491.7975938182644,3255.1363907212703,3254.451267114672,3255.8520622893375,5318.623766825876,5168.774442240903,5485.719052605691,4118.264221566369,4053.1066281188373,4185.64955275208,3372.5677179850572,3367.766493685522,3378.6096116632425,3285.2894910599744,3284.3863907692494,3286.043338722571
2020-12-07,5773.637707177103,5572.63821007419,5962.060517005459,5218.144518413532,5082.447146066515,5358.876447632375,4029.214443884842,3959.9215467295694,4092.57680368558,3467.2643488671974,3446.6156790587374,3494.2480248092143,3255.1998400304897,3254.510621654894,3255.9234924044927,5338.973233417386,5185.357348347619,5507.389261408411,4124.909728453622,4059.0802059963326,4193.327097341895,3372.935844513106,3368.1067438424493,3379.0142872565066,3285.3487352626007,3284.441632960239,3286.104493294467
2020-12-08,5799.031482346008,5596.207619544477,5989.969394004046,5237.018759397222,5099.1983291312,5381.532096049789,4036.9849551975917,3966.5553326479294,4101.92649253986,3469.2090228095994,3448.208062971339,3496.5948362804997,3255.2596499841743,3254.5666338438814,3255.990962727639,5358.370948618622,5201.0173860234645,5527.996239644403,4131.197266411676,4064.7366870323563,4200.614288390284,3373.2784654256875,3368.423551155428,3379.3909637167317,3285.403657519846,3284.492790671814,3286.161407674318
2020-12-09,5823.294440163061,5618.780777223989,6016.6507429830235,5255.020088470386,5115.743615763204,5403.538058628875,4044.4171878587304,3972.8795357655677,4110.913170184756,3471.0644031276206,3449.7199328328315,3498.842490970658,3255.316029334368,3254.619494030101,3256.0546951310716,5376.857670313282,5215.87924866166,5547.587168728251,4137.144344512573,4070.0913899497755,4207.529060989434,3373.597226533264,3368.718778190299,3379.741440351532,3285.454556044668,3284.5401495442993,3286.2147334048586
2020-12-10,5846.474167543411,5640.397942027074,6042.234919284079,5272.185941037604,5131.652548718959,5425.164422817467,4051.524957817174,3978.907570960998,4119.549889481423,3472.8346315112094,3451.1553202350324,3500.9952871859914,3255.3691755566642,3254.669382216373,3256.1148997241917,5394.473238209348,5229.94125833105,5566.337208542662,4142.767918787121,4075.1591568031904,4214.088894973031,3373.8936859369796,3368.9938099032074,3380.067421231816,3285.5017114828106,3284.5839779873086,3286.2641615456096
2020-12-11,5868.61705252954,5661.098439336336,6066.787001229511,5288.55273513362,5146.8352051942065,5446.185568443121,4058.3217042236784,3984.6524756991053,4127.849473414064,3474.5236691672,3452.518075965103,3503.057339140006,3255.419275320263,3254.7164684190047,3256.1717751587594,5411.25638866917,5243.488476190082,5584.508791717348,4148.08434459382,4079.954293794811,4220.310710193468,3374.1693158754206,3369.2499557031233,3380.370516940272,3285.5453875174762,3284.6245279434143,3286.3099643703827
2020-12-12,5889.768297398024,5680.920665023252,6090.295363201929,5304.155900443218,5161.309064409744,5466.402188798333,4064.82047479408,3990.126864413872,4135.824476643222,3476.135303830472,3453.8118756573685,3505.0325826975713,3255.4665048919514,3254.7609130604787,3256.22550920463,5427.244737584171,5256.443086144265,5601.972961207421,4153.10937108548,4084.4905871411156,4226.210859191645,3374.4255055234544,3369.4884520426076,3380.652248663391,3285.585831538743,3284.6620354626816,3286.352397604717
2020-12-13,5909.971805720597,5699.9019617223785,6112.793719063991,5319.029807004195,5175.068711241254,5485.845489741667,4071.033909754031,3995.34290117043,4143.487136105507,3477.6731541622107,3455.040224024916,3506.9247932405697,3255.5110306443676,3254.802867463087,3256.276279244117,5442.474722732861,5268.715989626846,5618.629831569957,4157.8581325258365,4088.7813018013003,4231.8051317521185,3374.663563469876,3369.7104649348394,3380.9140502221862,3285.6232752356,3284.6967212702666,3286.3917056732744
2020-12-14,5929.2699877990635,5718.078472721015,6134.315620339965,5333.207628326947,5188.187058970063,5504.545774650259,4076.974227540708,4000.3123198370877,4150.849373672733,3479.140673588492,3456.2064587029754,3508.7375808988845,3255.553009509409,3254.842474342592,3256.3242527438297,5456.981492654376,5280.341577158954,5634.4893209083875,4162.3451308020185,4092.839146412201,4237.108707903205,3374.8847206043206,3369.9170919873786,3381.1572709132815,3285.6579352424687,3284.7287915349298,3286.428201897814
2020-12-15,5947.703787144628,5735.485173741784,6154.9041125167605,5346.721367679978,5200.671395504913,5522.565164357406,4082.6532218012517,4005.0464163274123,4157.922778810136,3480.5411561937303,3457.3132969090584,3510.474396568635,3255.5925893823573,3254.8798682099914,3256.3698296675357,5470.7989068460065,5291.352845573325,5649.588647118655,4166.584242368167,4096.676283383746,4242.136159677702,3375.0901331224277,3370.109364925762,3381.383178467917,3285.6900139909894,3284.758438820933,3286.4619955158737
2020-12-16,5965.312690936543,5752.155817891287,6174.600745032605,5359.601873188363,5212.508981970444,5539.962682841208,4088.082260489342,4009.5560414340234,4164.718581637828,3481.8777431386607,3458.316379237236,3512.138538213652,3255.62990964876,3254.9151757517275,3256.4132623522855,5483.959545161877,5301.781403782998,5663.963614013101,4170.5887270878175,4100.304350436156,4246.901467767925,3375.2808856550264,3370.2882532144977,3381.5929628904214,3285.7197003259616,3284.785842477043,3286.4932827906187
