Day since March 1st,SXmas3_incidences_mean,SXmas3_incidences_LL,SXmas3_incidences_UL,SXmas3_load_mean,SXmas3_load_LL,SXmas3_load_UL
158,36,39,31,318,327,311
159,39,36,37,334,347,322
160,39,38,41,354,365,341
161,42,40,39,372,384,362
162,28,29,30,391,401,378
163,26,26,28,393,407,385
164,41,39,38,394,410,390
165,36,37,37,411,421,404
166,35,37,33,420,430,412
167,35,33,34,426,439,419
168,30,30,30,431,441,423
169,24,24,21,430,438,426
170,22,21,20,419,432,415
171,28,29,30,409,421,402
172,31,29,28,404,417,399
173,28,29,27,399,413,390
174,28,27,25,394,410,384
175,28,27,27,389,404,380
176,18,16,16,388,401,378
177,17,16,15,378,386,368
178,21,23,22,367,375,353
179,25,24,22,362,372,349
180,21,23,21,359,368,344
181,23,19,20,351,365,338
182,21,22,20,348,356,334
183,14,14,13,341,352,330
184,14,15,16,329,339,317
185,19,19,18,316,330,308
186,18,20,17,309,325,305
187,18,16,19,305,322,300
188,20,20,21,301,317,298
189,23,22,21,301,313,298
190,19,17,17,300,313,296
191,19,18,19,299,306,291
192,29,28,25,293,303,290
193,32,31,33,300,309,294
194,30,33,31,312,320,308
195,34,36,37,324,331,318
196,39,39,34,336,348,336
197,28,32,28,355,369,348
198,32,29,30,362,380,356
199,44,47,43,375,388,367
200,47,49,46,396,414,388
201,51,50,54,417,439,411
202,56,57,57,441,463,438
203,59,60,58,469,494,470
204,43,41,44,499,525,498
205,48,44,41,512,533,514
206,68,71,63,530,542,521
207,70,67,65,563,580,551
208,69,65,69,597,609,583
209,64,71,68,625,638,614
210,68,63,63,650,667,644
211,50,50,50,678,688,663
212,47,50,45,686,694,666
213,78,73,74,685,696,666
214,76,74,75,710,716,691
215,78,84,77,734,740,716
216,90,90,91,757,774,742
217,99,95,94,790,808,781
218,80,74,75,834,847,823
219,79,86,79,857,862,842
220,125,124,125,881,889,863
221,142,140,132,952,962,935
222,146,151,143,1035,1050,1015
223,164,165,158,1127,1146,1106
224,177,176,176,1232,1250,1203
225,141,140,135,1345,1359,1314
226,143,145,138,1415,1430,1381
227,218,224,221,1482,1498,1441
228,243,232,231,1618,1637,1578
229,267,270,255,1766,1785,1722
230,306,303,300,1931,1951,1880
231,330,330,315,2126,2142,2072
232,270,264,259,2332,2350,2270
233,270,276,276,2476,2482,2404
234,443,433,420,2605,2618,2548
235,473,485,475,2901,2899,2815
236,532,539,521,3213,3223,3134
237,611,614,601,3567,3586,3492
238,665,668,642,3991,4012,3906
239,529,533,499,4447,4479,4350
240,504,507,491,4751,4781,4625
241,769,761,754,5003,5038,4866
242,774,765,753,5500,5519,5350
243,778,774,739,5963,5984,5815
244,742,757,744,6412,6430,6224
245,729,739,722,6782,6828,6617
246,528,536,532,7116,7153,6936
247,494,490,478,7187,7222,7023
248,704,694,689,7164,7206,7009
249,701,686,685,7322,7343,7160
250,684,662,654,7432,7429,7272
251,662,672,631,7501,7480,7334
252,654,656,645,7518,7518,7341
253,473,467,461,7543,7544,7356
254,425,437,419,7392,7384,7217
255,594,605,594,7212,7220,7040
256,583,565,572,7220,7226,7067
257,533,550,527,7240,7218,7074
258,500,501,485,7206,7210,7048
259,470,471,457,7148,7163,6981
260,334,335,318,7038,7077,6890
261,291,294,282,6808,6859,6667
262,391,406,393,6547,6594,6425
263,388,375,374,6391,6449,6268
264,356,361,350,6240,6270,6099
265,329,336,326,6051,6088,5918
266,312,309,315,5861,5899,5734
267,225,213,207,5663,5714,5553
268,200,196,195,5408,5432,5290
269,265,271,273,5129,5158,5032
270,256,258,244,4945,4975,4859
271,239,239,247,4768,4795,4681
272,238,228,240,4584,4605,4522
273,234,222,235,4430,4420,4370
274,174,156,172,4255,4252,4215
275,155,148,163,4056,4031,4008
276,233,206,243,3862,3817,3823
277,210,200,252,3746,3682,3720
278,218,195,246,3624,3565,3651
279,223,189,250,3528,3444,3587
280,223,187,249,3452,3331,3542
281,155,123,179,3381,3230,3514
282,145,117,173,3262,3082,3414
283,199,160,249,3135,2933,3314
284,198,156,253,3065,2837,3288
285,200,153,261,2990,2730,3275
286,197,149,260,2926,2630,3259
287,193,146,248,2859,2536,3237
288,145,106,183,2806,2448,3212
289,129,93,176,2711,2324,3125
290,188,130,261,2599,2204,3039
291,182,123,250,2544,2126,3047
292,178,120,264,2504,2063,3043
293,176,118,256,2463,1996,3052
294,176,115,261,2426,1939,3056
295,124,85,193,2393,1887,3069
296,112,74,180,2317,1803,3020
297,164,107,260,2236,1712,2959
298,164,98,263,2211,1664,2980
299,163,95,265,2180,1612,3003
300,162,97,263,2160,1566,3034
301,153,87,256,2148,1528,3066
302,110,65,191,2130,1490,3092
303,105,56,181,2070,1427,3039
304,151,82,260,2006,1358,2985
305,151,80,258,1979,1328,3009
306,148,77,254,1971,1287,3035
307,138,76,275,1958,1253,3052
308,147,78,270,1943,1223,3090
309,112,57,213,1930,1196,3118
310,107,55,210,1882,1158,3091
311,169,86,333,1836,1108,3061
312,194,92,368,1862,1100,3160
313,195,96,397,1909,1101,3294
314,210,107,415,1951,1112,3455
315,211,101,431,2018,1139,3634
316,163,79,343,2092,1155,3814
317,164,79,351,2113,1151,3922
318,264,126,554,2135,1147,4035
319,276,130,570,2260,1196,4344
320,272,124,565,2395,1248,4655
321,263,113,560,2522,1290,4942
322,265,115,565,2626,1319,5196
323,184,77,420,2703,1342,5424
324,174,72,378,2695,1322,5471
325,242,102,538,2669,1288,5456
326,228,101,546,2716,1288,5617
327,232,93,529,2746,1288,5777
328,219,92,531,2767,1280,5863
329,216,84,530,2760,1260,5922
330,162,66,380,2728,1225,5949
331,145,56,369,2637,1175,5818
332,214,73,518,2547,1126,5689
333,207,77,512,2539,1098,5729
334,197,79,520,2536,1082,5781
335,202,71,510,2526,1071,5860
336,193,70,501,2533,1062,5939
337,134,48,359,2537,1046,5994
338,132,44,333,2477,1017,5907
339,176,62,493,2416,977,5793
340,175,59,474,2403,962,5830
341,171,60,479,2384,944,5863
342,173,54,460,2366,928,5882
343,168,57,460,2346,911,5888
344,120,34,339,2325,898,5898
345,111,35,309,2272,858,5780
346,156,48,451,2204,822,5645
347,151,50,447,2181,801,5644
348,148,43,434,2154,786,5637
349,143,43,427,2121,763,5621
350,141,45,415,2094,739,5588
351,104,30,313,2058,722,5552
352,98,27,282,1989,688,5421
353,126,37,407,1917,656,5263
354,129,38,394,1883,637,5230
355,130,37,400,1847,622,5180
356,124,35,390,1813,608,5153
357,121,30,386,1787,593,5125
358,89,21,269,1759,569,5100
359,79,19,255,1703,544,4967
360,118,29,361,1642,519,4818
361,111,29,358,1621,501,4779
362,103,29,346,1595,488,4736
363,102,27,340,1557,476,4695
364,108,27,345,1531,466,4647
365,71,16,244,1515,455,4605
366,66,16,220,1458,433,4469
367,98,22,311,1401,412,4320
368,94,23,317,1380,400,4265
369,89,22,304,1353,391,4235
370,91,18,307,1333,382,4179
371,86,20,301,1308,369,4138
372,66,15,215,1287,359,4099
373,57,13,195,1245,344,3982
374,87,17,280,1196,327,3847
375,74,17,277,1181,317,3803
376,80,18,272,1157,308,3757
377,78,15,257,1138,301,3728
378,75,14,258,1126,291,3683
379,51,11,187,1111,284,3639
380,52,11,175,1076,272,3537
381,66,14,240,1044,264,3426
382,67,14,231,1028,260,3394
383,67,13,238,1011,255,3371
384,63,12,236,1005,250,3357
385,62,13,222,990,243,3350
386,47,7,159,979,238,3313
387,40,8,143,949,227,3211
388,57,11,208,910,220,3100
389,59,9,201,890,216,3055
390,58,10,199,879,210,3004
391,51,9,201,863,203,2951
392,53,9,188,849,196,2918
393,39,7,137,837,190,2880
394,34,6,127,809,183,2784
395,48,9,180,778,174,2671
396,49,9,169,763,170,2635
397,44,8,165,748,167,2583
398,44,7,168,734,164,2544
399,44,6,167,721,159,2507
400,33,5,121,705,154,2474
401,28,4,103,681,149,2399
402,40,7,148,657,142,2303
403,41,6,145,642,138,2263
404,40,6,141,630,133,2220
405,38,4,143,617,129,2175
406,39,6,139,608,124,2137
407,28,3,98,599,121,2108
408,23,3,87,583,116,2043
409,33,6,132,560,112,1962
410,37,5,119,547,110,1926
411,31,4,119,537,108,1885
412,31,6,119,526,106,1849
413,30,4,116,516,104,1822
414,22,2,79,505,101,1793
415,22,3,75,487,97,1726
416,30,4,102,471,94,1655
417,27,4,112,462,92,1621
418,24,4,102,450,92,1601
419,26,3,99,440,91,1570
420,26,3,94,431,89,1539
421,18,2,70,420,88,1508
422,17,2,62,406,86,1457
423,24,3,93,391,83,1398
424,26,3,84,382,83,1370
425,24,2,85,377,82,1345
