,NIS,name
958,43014,Sint-Laureins
962,43018,Zelzate
974,44012,De Pinte
975,44013,Destelbergen
980,44019,Evergem
981,44020,Gavere
982,44021,Gent
994,44034,Lochristi
1000,44040,Melle
1002,44043,Merelbeke
1004,44045,Moerbeke (Gent)
1007,44048,Nazareth
1011,44052,Oosterzele
1022,44064,Sint-Martens-Latem
1031,44073,Wachtebeke
1039,44081,Zulte
1041,44083,Deinze
1042,44084,Aalter
1043,44085,Lievegem
1072,45035,Oudenaarde
1078,45041,Ronse
1095,45059,Brakel
1096,45060,Kluisbergen
1097,45061,Wortegem-Petegem
1098,45062,Horebeke
1099,45063,Lierde
1100,45064,Maarkedal
1101,45065,Zwalm
1102,45068,Kruisem
1105,46003,Beveren (Sint-Niklaas)
1115,46013,Kruibeke
1116,46014,Lokeren
1122,46020,Sint-Gillis-Waas
1123,46021,Sint-Niklaas (Sint-Niklaas)
1126,46024,Stekene
1127,46025,Temse
1134,51004,Aat
1138,51008,Beloeil
1139,51009,Bernissart
1142,51012,Brugelette
1144,51014,Chièvres
1147,51017,Elzele
1149,51019,Vloesberg
1192,51065,Frasnes-lez-Anvaing
1193,51067,Edingen
1194,51068,Opzullik
1195,51069,Lessen
1205,52010,Chapelle-lez-Herlaimont
1206,52011,Charleroi
1207,52012,Châtelet
1210,52015,Courcelles
1213,52018,Farciennes
1216,52021,Fleurus
1217,52022,Fontaine-l'Evêque
1220,52025,Gerpinnes
1242,52048,Montigny-le-Tilleul
1250,52055,Pont-à-Celles
1269,52074,Aiseau-Presles
1270,52075,Les Bons Villers
1284,53014,Boussu
1290,53020,Dour
1298,53028,Frameries
1309,53039,Hensies
1314,53044,Jurbeke
1316,53046,Lens
1323,53053,Bergen
1335,53065,Quaregnon
1338,53068,Quiévrain
1340,53070,Saint-Ghislain
1352,53082,Colfontaine
1353,53083,Honnelles
1354,53084,Quévy
1368,55004,'s Gravenbrakel
1398,55035,Le Roeulx
1403,55040,Zinnik
1413,55050,Ecaussinnes
1414,55085,Seneffe
1415,55086,Manage
1416,56001,Anderlues
1420,56005,Beaumont
1431,56016,Chimay
1437,56022,Erquelinnes
1443,56029,Froidchapelle
1459,56044,Lobbes
1464,56049,Merbes-le-Château
1466,56051,Momignies
1493,56078,Thuin
1501,56086,Ham-sur-Heure-Nalinnes
1503,56088,Sivry-Rance
1506,57003,Antoing
