,A01,A02,A03,B05-09,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31-32,C33,D35,E36,E37-39,F41-43,G45,G46,G47,H49,H50,H51,H52,H53,I55-56,J58,J59-60,J61,J62-63,K64,K65,K66,L68,M69-70,M71,M72,M73,M74-75,N77,N78,N79,N80-82,O84,P85,Q86,Q87-88,R90-92,R93,S94,S95,S96,T97-98
C28,22.2523769795384,86.901444376023,1.12021482722922,3.81927152818587,0.245323255922874,0.261395404620249,0,6.47206886549493,0,29.0530609163683,177.232570528939,1.49769949889307,2.00287119715223,0.347411799737218,17.0803406776749,98.1276685604075,21.6655829802404,0.460747594988474,2167.88604709747,524.414747356273,4.19451970857901,4.10521154870384,415.737300489337,0,0,7.14679334585121,741.509517236116,85.4230141711799,86.9202735448568,14.5366181506952,15.2116649719278,0,0,85.3812218341559,1.96078960131938,0,0.000581472110773,0.814424905497736,1.74839578767346,0.049090258307542,0.036082014690591,1.28222225485141,0.040240583433109,13.7441295677788,27.3806664020944,9.32220972136895,96.4604105744582,0,0.002033463394562,17.667583035417,0,0,22.0001850071384,30.112218539527,0,39.9489914217751,0.119530107635839,0,0,5.96497039289911,0.336207902785494,2.5742253478763,0
C29,1.48280704596455,0,0,0.001613847562027,0.005711156561348,0,0,0,0,0.106184480961297,4.35359270705586,0,3.03434686560321E-05,0,0,0.844713697988059,0,0,7.82143863636508,7150.50024157879,16.5573833512686,0.006723167819146,0.090404246597619,0,0,4.66971304439742,6.12033698194908,299.325954926926,0.83094182306362,0.305806357524433,119.285578222676,0,0,2.11671573550064,0,0,8.11258953529666E-07,0,6.07705226304753E-08,3.62833101261845E-05,0.244591988378375,0,0,0,0.00115404381038,7.04326350214198E-05,8.38945396294794,0,0.242907803623335,143.981257769417,0,0,8.56348842409116E-06,11.8674761471322,0,14.3364490821453,0.266388982003833,0,0,5.09304208789693,0,0,0
C30,0,0,1.61803443185918,0,0.012964827865139,0,0,0,0,0.118137943919484,0.417196458117334,0,0.000219225279053,0,0,0.599960023317091,0,0,0,5.81950220701378,483.047690178042,0.022766295344699,291.564071724611,0,0,0,2.32431455353935,0,10.4569942334973,0.033832368684957,62.0626212047859,0,61.2461409387173,6.71318472404317,0,0,0,0,0,0.000214543104419,0,0,0,0,0.003772185620583,0.000468925788156,4.09289812204062E-05,0,1.79650194214847,0,0,0,6.16993086427311E-06,72.9239580819843,0,0.891770476093929,0,0,0,0,0,0,0
C31-32,1.04516765946321,0,0,1.76751950785404,0.83513230372579,3.59127647524,0,0,3.55015906879838E-05,0.830921614369047,16.3151424168878,24.8101771641604,7.21712545655452,2.75511156328606,2.93025235756885,5.15650478781573,21.6001195362216,0,6.15435389373536,123.247901656781,2.6258647662084,137.329553906616,12.0151546541575,0,0,3.07593484960735,142.549247670853,1.2601390650138,84.2370350698763,18.3054462960232,26.2499984781574,0,0,15.8852162237384,0,4.18765697698317,2.97514406795456,0,0.075191870139617,0.320114182338482,1.48156164643015,0.646855679357047,0.883707435849483,1.11505590028492,4.66918311531425,5.09332539266147,15.1588868232033,1.85325207892954,23.4205509442988,6.9795406762691,0.048495577543398,0,17.2585172985321,6.31703771616238,3.22371660954215,704.204241663907,67.6867833317178,1.95900902319975,55.4417867972609,0,0.886682148724586,19.7175944348512,0
C33,213.747262019048,10.5942459737601,8.72738651480734,37.1060263581585,252.413416905684,77.8363732529749,110.696864649951,191.821983977808,47.9651970635583,35.7740123068386,141.698603708728,40.2419899945973,67.4055063920154,93.9093339059761,407.256719559903,124.728674854337,33.2684226078326,31.4810489839313,117.757955869051,67.0578819703283,126.706988939303,56.8604248215159,455.11167337403,161.684921755603,52.3900313313258,277.865280617388,187.940103544801,21.6812484615256,143.691061676635,172.55108108423,193.133259362614,114.515726300275,391.162207239524,151.059739834148,22.7541711480527,78.4733698233751,4.02332504322679,23.4678427494762,123.652335325601,27.4203428245405,7.11416376778571,0,9.07915095414638,32.5886789053913,221.692814620878,65.637379931773,270.90729757902,0,17.4774058366098,228.321867460584,0,2.61391777429546,165.040946870878,134.363362954927,17.8413952659263,162.802950367924,74.9943644687467,45.1367810020717,50.5781784386791,10.0746984032519,2.62048203847076,41.9325839194843,0
D35,208.364695398402,0,0,60.3470489622069,557.540898297224,96.5332640101192,64.3457193774888,122.430508928474,64.3177116903869,187.846573924109,1202.12875689802,41.0735819179793,89.5800542266661,237.346715802845,876.41773048091,64.1541259719812,19.6438206455009,33.0784527968488,64.5835002850246,65.1740738339698,13.2714481064164,38.6252383342399,23.5554440829549,2127.88334962904,1.46127344704972,163.325204049903,131.976161077114,49.7854584822231,105.242298802527,410.742205895112,239.816212735113,0.008430520472656,1.6442959750037,181.141577382674,13.3904603909247,191.131265916768,1.0636833016061,16.2557343075585,98.2413137020813,121.470906388884,72.2565348986243,8.34117689843754,113.589995433264,154.138764354228,158.069924513574,43.2814649303068,210.481163529481,11.5802560944936,12.6677680380431,15.2811598640724,7.91947805920524,1.02494125045486,74.834989640692,105.593067286278,42.8793883381731,133.65330892618,250.153267320515,46.1105860189072,61.6299511590474,16.8659313033425,2.5947483237819,66.4255696355099,0
E36,6.06201230662151,0,0,0.307571864962726,23.2029347779746,3.56955776313894,1.63991009586093,1.70348284420228,1.60698436928408,12.4469135648441,23.2208213691344,3.93070266797931,3.52415588282643,5.45260858710489,60.7853026772637,4.53484826792358,0.976558552862155,0.637408428782175,0.900070534670273,2.79594550723755,0.380014924188415,0.992742804294322,2.15292329452674,4.79171532433961,12.6070141530516,11.2462167257413,11.6213593983024,2.52717083501004,14.8008667165116,11.6088844300679,8.44040646832824,1.23838921912964E-05,0,10.8325306367954,1.01847169249275,29.448823663359,0.548285121445245,0.632646943146333,0.997110448465955,2.692100910989,4.03072022521701,0.588315274303114,4.67674074793492,46.9597337294087,9.31514253760702,2.01386903492966,15.4659101518186,0.327272059413432,3.92705240874561,1.90575441671313,1.37812820927546,0,4.69886634191514,19.422830513935,5.53306892280976,24.6011466188821,36.1631288232838,3.09015697580732,14.2286165100242,7.26512737505718,0.163507315637863,4.43148351805475,0
E37-39,5.88429334366334,2.31665354351939,0.972689136612734,15.6659003011025,85.2242612407319,18.6978472007123,164.181055313056,297.88753773852,7.96219846736473,40.7103648028907,293.599358770532,25.4882552730636,74.1660678769097,76.9989212502883,2018.80528112869,387.712553112963,4.96265279388878,3.33349148065373,6.34542557809036,9.67491551793261,260.186168033299,4.88711461703431,230.539419191853,20.2233054171498,675.677182463449,3943.91957364499,306.737777510682,4.25647919657321,122.609701165518,39.9941299777998,24.3656648948817,8.29029491524124,2.32268860693184,41.7010808209285,16.4913549499374,56.8714545730967,0.982925066399442,4.19715987411955,2.99304620795311,5.42606756937828,0.00857824111989,0,2.94208356363255,23.355291787998,6.4275341170427,12.9971074091543,121.186170126338,0.076953951714012,10.8153080753301,19.5660926718515,1.86244377363976,0.864983990219814,134.530908063344,494.719097348601,9.11911780986431,26.0036713160155,21.4241382823736,1.2693144626843,2.70183169043863,0.391848085811514,0.241795508606207,3.52578436693203,0
F41-43,98.8953904025277,0,0,23.0970976068218,99.8615918448454,9.28173096005303,8.49721699444846,25.7231952297373,12.761367531961,26.1532135526397,199.619096946412,102.979789813981,15.5598563106213,45.1068807488939,35.0756469481318,89.7827549958395,6.3851184473652,13.5045207845582,18.6568996772708,46.4439690953217,5.83491327079485,11.9501128084223,644.969388810301,1005.53228054546,10.4176990816608,215.688799845302,22005.6207731246,48.7665850044465,200.495177974193,270.432667764621,126.720013080617,0.379218918850522,0.529494657590086,306.160345050609,0,106.989751512496,10.5456606902859,8.95952525051935,22.4906988833683,59.9547920698137,0.164221489819119,0,12.1854140427255,763.204193143108,132.958854002867,194.14410525503,162.519901479941,1.76721313527979,16.2278562133058,399.207893316452,16.4120882283,27.3365596445143,51.4708594619608,281.438984076615,102.24892751696,115.390043642922,149.825545587641,37.2612573937859,45.2527642777525,63.7486562139415,5.58649555695772,147.640674571176,0
G45,19.4016400354916,0,0,2.12471308359275,22.8988957556449,3.56441735891695,4.30219676920005,0.765581501419991,2.29839443300581,0.374067828791805,3.15875223968371,3.42918852149261E-08,19.8396216985481,16.550518673412,8.56919338107795,21.6130949806803,0.138788406487674,3.42939967072699,25.2046829023526,395.250257444601,5.05127972827067,6.6146086613363,18.4168543376346,0.000133504148768,1.71987496655435,46.3473109463158,242.531725970924,92.8527222729264,145.793363599536,45.9036308912314,304.465037113304,4.66849602217124,0,88.3891560456259,13.4021374020683,11.102213553751,3.2369749460567,3.27180661336214,11.9951695122371,34.1452798480734,3.34799779045009,3.85493835875866,9.86737990428749,23.8210562616273,168.087370360075,42.2866297640999,5.63666296462949,2.54529575777642,3.89682049274786,751.297765762237,4.14274730747313,1.64638262735898,93.3941466360468,67.2795433011517,26.4363788938352,116.669344671059,20.395344037142,7.19818085888384,7.04424905588558,2.66174108081143,3.59075034701649,19.2873589623672,0
