,Sectoral output (M€/y),Intermediate demand (M€/y),Household demand (M€/y),Total other demand (M€/y),Other consumption - IZW (M€/y),Other consumption - government (M€/y),Other consumption - investments (M€/y),Other consumption - inventory changes (M€/y),Other consumption - exports (M€/y),Labor compensation (M€/y),Number of employees (-),Desired stock (days),On-site consumption (-)
H50,5208.02359981856,2138.33191689787,10.188679245283,3059.50300367541,0,0,0,0,3059.50300367541,209.861125416713,3100,2.01117318435756,1
H51,7249.45754838949,4319.9698157016,566.6,2362.88773268789,0,0,0,0,2362.88773268789,477.684211493861,7300,1.67597765363131,1
H52,32323.8966427118,17424.6634496948,280.490425684662,14618.7427673323,0,5489.4,0,0,9129.34276733233,5449.95204989676,95100,25.8100558659218,1
H53,4408.40629475293,3503.47249352564,187.621109154889,717.312692072395,0,0,0,0,717.312692072395,1486.68482662727,36100,1.34078212290505,1
I55-56,18338.577239415,5688.62294339246,11228.8399151708,1421.11438085175,0,0,0,0,1421.11438085175,4248.22724815887,158900,7.37430167597765,1
J58,6039.58882103022,3085.12447332892,1203.79344232916,1750.67090537215,0,0,834.404493680011,0,916.266411692139,820.318599119003,10000,7.0391061452514,0
J59-60,5127.95713873693,2759.58110077519,829.059056098464,1539.31698186328,0,499.6,460.51888444373,0,579.198097419548,758.099188849935,13600,11.3966480446927,0
J61,13968.4141409247,6447.29481430678,4276.12,3244.99932661793,0,0,0,0,3244.99932661793,1769.85183952845,23000,6.03351955307263,0
J62-63,21178.4317233737,11546.5908006826,0,9631.84092269112,0,0,4921.75985921155,0,4710.08106347957,5179.66260112872,83200,6.36871508379889,0
K64,18482.4317365211,11847.7785418072,3480.9732850714,3153.6799096425,0,0,0,0,3153.6799096425,3860.18094068969,56100,9.38547486033521,0
K65,10931.5110094599,3348.97862875824,6632.36624511293,950.166135588693,0,0,0,0,950.166135588693,2069.59432299088,24600,9.72067039106147,0
K66,20222.1430281538,12036.9868534687,2089.95657511164,6095.19959957344,0,0,0,0,6095.19959957344,3545.3082454733,35600,9.38547486033521,0
L68,23790.6505330396,12169.2322948672,11291.25,330.168238172306,0,69.3,13.3392260940702,0,247.529012078236,1215.15479314685,30400,34.1899441340782,1
M69-70,72309.2548730717,49538.1253446793,563.024163586716,22208.1053648056,0,0,1185.75704148856,0,21022.3483233171,6372.13851339289,400900,21.7877094972067,1
M71,13303.7550609386,8135.34568798779,86.0330578512397,5082.37631509961,0,0,2284.73677525073,0,2797.63953984888,2369.85734937534,63200,14.7486033519553,0
M72,20756.2037529966,2674.7592614169,0,18081.4444915797,2.2,1824.4,12927.7444099455,0,3327.1000816342,5864.95353138961,12000,8.37988826815645,0
M73,10425.5663713338,6652.75819513815,3.2165791668938,3769.59159702876,0,0,0,0,3769.59159702876,798.890816257777,19000,3.35195530726258,0
M74-75,2845.11591021356,2126.33908561769,396.141934790398,322.634889805472,0,0,0,0,322.634889805472,245.572656020271,25900,8.37988826815645,0
N77,17853.6012776014,11199.6815190904,2655.940183916,3997.97957459498,0,0,0,0,3997.97957459498,1104.7781178434,16100,3.35195530726258,1
N78,8102.17479666155,8051.65083661104,0,50.5239600505085,0,0,0,0,50.5239600505085,6959.34676997972,210700,3.35195530726258,0
N79,3337.37447850293,502.61006990021,2818.82719050861,15.9372180941106,0,0,0,0,15.9372180941106,367.090358750516,8500,3.35195530726258,1
N80-82,15409.8980455227,11601.0348473638,1344.09,2464.77319815884,0,0,447.349446172295,0,2017.42375198654,5502.31660021478,227700,3.35195530726257,0
O84,34084.4119291506,715.120750975448,2258,31111.2911781751,0,30007,0,0,1104.29117817511,24260.2849716992,441200,28,1
P85,26866.8490514671,1347.23079661866,1176.77451045746,24342.8437443909,341.1,23903.8,0,0,97.9437443909377,21242.2863904919,411000,28,1
Q86,32968.9866525298,3370.2593218142,7613.1,21985.6273307156,0,21980.3,0,0,5.32733071555315,10330.1916862157,332000,3.01675977653633,1
Q87-88,14060.6098708652,0,5234.6,8826.00987086518,1971.7,6854.2,0,0,0.109870865179194,11628.94466405,315900,3.01675977653633,1
R90-92,4730.39334252484,734.980334722948,1964.70087911954,2030.71212868235,312.7,1097.6,210.088717113693,0,410.323411568656,1248.07100714025,26600,2.34636871508382,1
R93,2759.38928420384,1110.63116277499,909.9,738.858121428849,40.3,609.4,0,0,89.1581214288494,614.036701065706,21100,2.34636871508382,1
S94,5583.64347439898,3031.92038660684,653.5,1898.22308779214,1734.9,0,0,0,163.323087792139,2400.42617431963,44200,2.34636871508382,1
S95,1091.42307567485,638.070093551425,425.283378039284,28.0696040841378,0,0,0,0,28.0696040841378,105.02358787361,6500,2.34636871508382,1
S96,3648.6228169603,379.080191254037,3262.15638945233,7.38623625393609,0,0,0,0,7.38623625393609,643.410897679496,70700,2.34636871508382,1
T97-98,424.5,0,424.5,0,0,0,0,0,0,424.500001211773,40900,9.38547486033521,1
